doc_idx,c5_id,sent_idx,original_sentence,input,mentions,bi_pred_entity,bi_qid,bi_desc,cross_pred_entity,cross_qid,cross_desc
2685,20070630826079I,0,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,(-23) aircraft departed ray airport and after takeoff into the climb aircraft engine started to have problems.,ray airport,Roy E. Ray Airport,Q7372758," Roy E. Ray Airport is a privately owned, public-use airport located three nautical miles (4 mi, 6 km) northeast of the central business district of Bayou La Batre, a city in Mobile County, Alabama, United States. ",Roy E. Ray Airport,Q7372758," Roy E. Ray Airport is a privately owned, public-use airport located three nautical miles (4 mi, 6 km) northeast of the central business district of Bayou La Batre, a city in Mobile County, Alabama, United States. "
2687,20070406014429I,0,"(-23) 04/06/2007 AT 1502 LOCAL, COLGAN AIR FLIGHT 4912, RETURNED TO LAND ON RUNWAY 23 AT SHENADOAH REGIONAL AIRPORT","(-23) 04/06/2007 at 1502 local, colgan air flight 4912, returned to land on runway 23 at shenadoah regional airport",colgan,Colgan Air,Q260807," Colgan Air was an American certificated regional airline subsidiary of Pinnacle Airlines Corp. The headquarters of Colgan Air were located in Memphis, Tennessee.  Colgan Air's major hubs were in Newark, New Jersey and Washington (Dulles), Virginia. It was operating for United Express when it became defunct. Pinnacle Airlines Corporation phased out the Colgan Air name on September 5, 2012, and transferred operations to other subsidiaries. ",Colgan Air,Q260807," Colgan Air was an American certificated regional airline subsidiary of Pinnacle Airlines Corp. The headquarters of Colgan Air were located in Memphis, Tennessee.  Colgan Air's major hubs were in Newark, New Jersey and Washington (Dulles), Virginia. It was operating for United Express when it became defunct. Pinnacle Airlines Corporation phased out the Colgan Air name on September 5, 2012, and transferred operations to other subsidiaries. "
2687,20070406014429I,0,"(-23) 04/06/2007 AT 1502 LOCAL, COLGAN AIR FLIGHT 4912, RETURNED TO LAND ON RUNWAY 23 AT SHENADOAH REGIONAL AIRPORT","(-23) 04/06/2007 at 1502 local, colgan air flight 4912, returned to land on runway 23 at shenadoah regional airport",shenadoah regional airport,Shenandoah Valley Regional Airport,Q7494187," Shenandoah Valley Regional Airport is a public airport located in Weyers Cave, Virginia; 10 nautical miles (12 mi, 19 km) northeast of the central business district of Staunton. It is mostly used for general aviation, but is also served by one commercial airline. Service is subsidized by the Essential Air Service program.  The airport is operated by the Shenandoah Valley Regional Airport Commission, which consists of members from the cities of Staunton, Waynesboro and Harrisonburg, and the counties of Augusta and Rockingham.  As per Federal Aviation Administration records, the airport had 7,746 passenger boardings (enplanements) in calendar year 2008, 8,364 enplanements in 2009, and 10,408 in 2010. It is included in the National Plan of Integrated Airport Systems for 2011–2015, which categorized it as a ""non-primary commercial service"" airport based on enplanements in 2008/2009 (between 2,500 and 10,000 per year). ",Shenandoah Valley Regional Airport,Q7494187," Shenandoah Valley Regional Airport is a public airport located in Weyers Cave, Virginia; 10 nautical miles (12 mi, 19 km) northeast of the central business district of Staunton. It is mostly used for general aviation, but is also served by one commercial airline. Service is subsidized by the Essential Air Service program.  The airport is operated by the Shenandoah Valley Regional Airport Commission, which consists of members from the cities of Staunton, Waynesboro and Harrisonburg, and the counties of Augusta and Rockingham.  As per Federal Aviation Administration records, the airport had 7,746 passenger boardings (enplanements) in calendar year 2008, 8,364 enplanements in 2009, and 10,408 in 2010. It is included in the National Plan of Integrated Airport Systems for 2011–2015, which categorized it as a ""non-primary commercial service"" airport based on enplanements in 2008/2009 (between 2,500 and 10,000 per year). "
2688,20070706012019I,0,"(-23) 07/06/2007, CREST AIRPARK KENT WASHINGTON AT 8PM N756SE, HAD A GEAR UP EVENT WITH MINOR DAMAGE TO THE AIRCRAF","(-23) 07/06/2007, crest airpark kent washington at 8pm n756se, had a gear up event with minor damage to the aircraf",airpark kent washington,Kentmorr Airpark,Q19876597,,Crest Airpark,Q1655869," Norm Grier Field (Formerly Crest Airpark) is a public airport located five miles (8 km) southeast of the central business district of Kent, a city in King County, Washington, United States. It was privately owned by Norm Grier until his death. It was renamed Norm Grier Field after his death. The airport is on a hill and surrounded by trees. Private residences also surround the airport. Many are able to hangar an aircraft that can be taxied to the runway. "
2689,20070705013159I,0,(-23) REXA FLG5966 RETURNED TO OMAHA DUE TO AN OPEN OXYGEN PANEL LOCATED ON THE EXTERIOR OF THE FUSELAGE BELOW THE ,(-23) rexa flg5966 returned to omaha due to an open oxygen panel located on the exterior of the fuselage below the,omaha,"Omaha, Nebraska",Q43199," Omaha ( ) is the largest city in the state of Nebraska and the county seat of Douglas County. Omaha is in the Midwestern United States on the Missouri River, about north of the mouth of the Platte River. The nation's 40th-largest city, Omaha's 2018 estimated population was 466,061.  Omaha is the anchor of the eight-county, bi-state Omaha-Council Bluffs metropolitan area. The Omaha Metropolitan Area is the 59th largest in the United States, with an estimated population of 944,316 (2018). The Omaha-Council Bluffs-Fremont, NE-IA Combined Statistical Area (CSA) encompasses the Omaha-Council Bluffs MSA as well as the separate Fremont, NE Micropolitan Statistical Area, which consists of the entirety of Dodge County, Nebraska. The total population of the CSA was 970,023 based on 2017 estimates. Approximately 1.3 million people reside within the Greater Omaha area, within a radius of Downtown Omaha.  Omaha's pioneer period began in 1854, when the city was founded by speculators from neighboring Council Bluffs, Iowa. The city was founded along the Missouri River, and a crossing called Lone Tree Ferry earned the city its nickname, the ""Gateway to the West"". Omaha introduced this new West to the world in 1898, when it played host to the World's Fair, dubbed the Trans-Mississippi Exposition. During the 19th century, Omaha's central location in the United States spurred the city to become an important national transportation hub. Throughout the rest of the 19th century, the transportation and jobbing sectors were important in the city, along with its railroads and breweries. In the 20th century,","Omaha, Nebraska",Q43199," Omaha ( ) is the largest city in the state of Nebraska and the county seat of Douglas County. Omaha is in the Midwestern United States on the Missouri River, about north of the mouth of the Platte River. The nation's 40th-largest city, Omaha's 2018 estimated population was 466,061.  Omaha is the anchor of the eight-county, bi-state Omaha-Council Bluffs metropolitan area. The Omaha Metropolitan Area is the 59th largest in the United States, with an estimated population of 944,316 (2018). The Omaha-Council Bluffs-Fremont, NE-IA Combined Statistical Area (CSA) encompasses the Omaha-Council Bluffs MSA as well as the separate Fremont, NE Micropolitan Statistical Area, which consists of the entirety of Dodge County, Nebraska. The total population of the CSA was 970,023 based on 2017 estimates. Approximately 1.3 million people reside within the Greater Omaha area, within a radius of Downtown Omaha.  Omaha's pioneer period began in 1854, when the city was founded by speculators from neighboring Council Bluffs, Iowa. The city was founded along the Missouri River, and a crossing called Lone Tree Ferry earned the city its nickname, the ""Gateway to the West"". Omaha introduced this new West to the world in 1898, when it played host to the World's Fair, dubbed the Trans-Mississippi Exposition. During the 19th century, Omaha's central location in the United States spurred the city to become an important national transportation hub. Throughout the rest of the 19th century, the transportation and jobbing sectors were important in the city, along with its railroads and breweries. In the 20th century,"
2689,20070705013159I,0,(-23) REXA FLG5966 RETURNED TO OMAHA DUE TO AN OPEN OXYGEN PANEL LOCATED ON THE EXTERIOR OF THE FUSELAGE BELOW THE ,(-23) rexa flg5966 returned to omaha due to an open oxygen panel located on the exterior of the fuselage below the,open,Ski jumping at the 2018 Winter Olympics – Men's large hill team,Q47461175," The men's large hill team ski jumping competition for the 2018 Winter Olympics in Pyeongchang, South Korea, was held on 19 February 2018 at the Alpensia Ski Jumping Stadium. ",Airlock,Q594958," An airlock is a device which permits the passage of people and objects between a pressure vessel and its surroundings while minimizing the change of pressure in the vessel and loss of air from it. The lock consists of a small chamber with two airtight doors in series which do not open simultaneously.  An airlock may be used for passage between environments of different gases rather than different pressures, to minimize or prevent the gases from mixing.  An airlock may also be used underwater to allow passage between an air environment in a pressure vessel and the water environment outside, in which case the airlock can contain air or water. This is called a floodable airlock or an underwater airlock, and is used to prevent water from entering a submersible vessel or an underwater habitat. "
2690,20070202004689I,0,"(-23) ON 02/02/2007, AT APPROXIMATELY 19:54, SWAA WAS CLEARED TO LAND ON RUNWAY 19, AT ALB. CONDITIONS WERE 3/4 MIL","(-23) on 02/02/2007, at approximately 19:54, swaa was cleared to land on runway 19, at alb.",swaa,South African Airways,Q223763," South African Airways (SAA) is the flag carrier airline of South Africa. Its headquarters are in Airways Park on the grounds of O. R. Tambo International Airport in Kempton Park, Ekurhuleni, Gauteng. In partnership with SA Express, SA Airlink and its low-cost carrier, Mango, the airline flies to 56 destinations in South Africa, continental Africa and around the world from its Johannesburg hub, using a fleet of 44 aircraft. Vuyani Jarana has been CEO since November 2017. The airline has also been subject to scrutiny in the media due to past allegations of corruption and mismanagement.  South African Airways was founded in 1934 after the acquisition of Union Airways by the South African government. The airline was initially overseen and controlled by South African Railways and Harbours Administration. Anti-apartheid sanctions by African countries deprived the airline of stopover airports during apartheid, forcing it to bypass the continent with long-range aircraft. During this time, it was also known by its Afrikaans name, Suid-Afrikaanse Lugdiens (SAL, ), which has since been dropped by the airline. In 1997 SAA changed its name, image and aircraft livery and introduced online ticketing services. In 2006, SAA was split from Transnet, its parent company, to operate as an independent airline. It remains one of the largest of South Africa's state owned enterprises.  SAA owns Mango, a low-cost domestic airline, and has established links with Airlink and South African Express. It is a member of the Star Alliance. ",South West African Airways,Q2304595," South West African Airways (SWAA) was the first commercial air service in South West Africa (now Namibia). It operated from 1930 until 1935, when it was taken over by South African Airways. "
2690,20070202004689I,0,"(-23) ON 02/02/2007, AT APPROXIMATELY 19:54, SWAA WAS CLEARED TO LAND ON RUNWAY 19, AT ALB. CONDITIONS WERE 3/4 MIL","(-23) on 02/02/2007, at approximately 19:54, swaa was cleared to land on runway 19, at alb.",alb,Albi,Q132801," Albi (; ) is a commune in southern France. It is the prefecture of the Tarn department, on the river Tarn, 85 km northeast of Toulouse. Its inhabitants are called ""Albigensians"" (, ). It is the seat of the Archbishop of Albi. The episcopal city, around the Cathedral Sainte-Cecile, was added to the UNESCO list of World Heritage Sites in 2010. ",Albi,Q132801," Albi (; ) is a commune in southern France. It is the prefecture of the Tarn department, on the river Tarn, 85 km northeast of Toulouse. Its inhabitants are called ""Albigensians"" (, ). It is the seat of the Archbishop of Albi. The episcopal city, around the Cathedral Sainte-Cecile, was added to the UNESCO list of World Heritage Sites in 2010. "
2692,20070709017229A,0,"(-23) 07/09/07 AIRCRAFT DEPARTED LAKELAND, FL (LAL) AT 800, VFR SOUTHBOUND. NO FLIGHT PLAN FILED. NO FURTHER CONTAC","(-23) 07/09/07 aircraft departed lakeland, fl (lal) at 800, vfr southbound.",lakeland,"Lakeland, Florida",Q639452," Lakeland is a city in Polk County, Florida, along Interstate 4 east of Tampa. The westernmost city in Polk County, it is part of the Tampa Bay Area. According to the 2018 U.S. Census Bureau estimate, the city had a population of 110,516. Lakeland is a principal city of the Lakeland–Winter Haven Metropolitan Statistical Area.  Native Americans began to live in the area 12,000 years ago. European-American settlers arrived in Lakeland from South Carolina in the 1870s. The city expanded in the 1880s with the arrival of rail service, with the first freedmen railway workers settling here in 1883. They and European immigrants also came because of new jobs in the large phosphate industry that developed. Lakeland is home to the 1,267-acre Circle B Bar Reserve.  ","Lakeland, Florida",Q639452," Lakeland is a city in Polk County, Florida, along Interstate 4 east of Tampa. The westernmost city in Polk County, it is part of the Tampa Bay Area. According to the 2018 U.S. Census Bureau estimate, the city had a population of 110,516. Lakeland is a principal city of the Lakeland–Winter Haven Metropolitan Statistical Area.  Native Americans began to live in the area 12,000 years ago. European-American settlers arrived in Lakeland from South Carolina in the 1870s. The city expanded in the 1880s with the arrival of rail service, with the first freedmen railway workers settling here in 1883. They and European immigrants also came because of new jobs in the large phosphate industry that developed. Lakeland is home to the 1,267-acre Circle B Bar Reserve.  "
2692,20070709017229A,0,"(-23) 07/09/07 AIRCRAFT DEPARTED LAKELAND, FL (LAL) AT 800, VFR SOUTHBOUND. NO FLIGHT PLAN FILED. NO FURTHER CONTAC","(-23) 07/09/07 aircraft departed lakeland, fl (lal) at 800, vfr southbound.",fl,Florida,Q812," Florida () is the southernmost contiguous state in the United States. The state is bordered to the west by the Gulf of Mexico, to the northwest by Alabama, to the north by Georgia, to the east by the Atlantic Ocean, and to the south by the Straits of Florida. Florida is the 22nd-most extensive (), the 3rd-most populous (21,312,211 inhabitants), and the 8th-most densely populated () of the U.S. states. Jacksonville is the most populous municipality in the state and the largest city by area in the contiguous United States. The Miami metropolitan area is Florida's most populous urban area. Tallahassee is the state's capital.  Florida's $1.0 trillion economy is the fourth largest in the United States. If it were a country, Florida would be the 16th largest economy in the world, and the 58th most populous . In 2017, Florida's per capita personal income was $47,684, ranking 26th in the nation. The unemployment rate in September 2018 was 3.5% and ranked as the 18th in the United States. Florida exports nearly $55 billion in goods made in the state, the 8th highest among all states. The Miami Metropolitan Area is by far the largest urban economy in Florida and the 12th largest in the United States with a GDP of $345 billion . This is more than twice the number of the next metro area, the Tampa Bay Area, which has a GDP of $145 billion. Florida is home to 51 of the world's billionaires with most of them residing in South Florida.  The first European",Florida,Q812," Florida () is the southernmost contiguous state in the United States. The state is bordered to the west by the Gulf of Mexico, to the northwest by Alabama, to the north by Georgia, to the east by the Atlantic Ocean, and to the south by the Straits of Florida. Florida is the 22nd-most extensive (), the 3rd-most populous (21,312,211 inhabitants), and the 8th-most densely populated () of the U.S. states. Jacksonville is the most populous municipality in the state and the largest city by area in the contiguous United States. The Miami metropolitan area is Florida's most populous urban area. Tallahassee is the state's capital.  Florida's $1.0 trillion economy is the fourth largest in the United States. If it were a country, Florida would be the 16th largest economy in the world, and the 58th most populous . In 2017, Florida's per capita personal income was $47,684, ranking 26th in the nation. The unemployment rate in September 2018 was 3.5% and ranked as the 18th in the United States. Florida exports nearly $55 billion in goods made in the state, the 8th highest among all states. The Miami Metropolitan Area is by far the largest urban economy in Florida and the 12th largest in the United States with a GDP of $345 billion . This is more than twice the number of the next metro area, the Tampa Bay Area, which has a GDP of $145 billion. Florida is home to 51 of the world's billionaires with most of them residing in South Florida.  The first European"
2692,20070709017229A,0,"(-23) 07/09/07 AIRCRAFT DEPARTED LAKELAND, FL (LAL) AT 800, VFR SOUTHBOUND. NO FLIGHT PLAN FILED. NO FURTHER CONTAC","(-23) 07/09/07 aircraft departed lakeland, fl (lal) at 800, vfr southbound.",lal,"Feather Sound, Florida",Q2321660," Feather Sound is a census-designated place (CDP) in Pinellas County, Florida, United States. The population was 3,420 at the 2010 census. It includes the St. Petersburg-Clearwater International Airport. ",South Lakeland Airport,Q7567766," South Lakeland Airport is a public airport located 13.5 miles south of the central business district (CBD) of Lakeland, a city in Polk County, Florida, United States. The airport covers 32 acres and has one runway. The airport is also home to a regional skydiving company, Skydive Tampa Bay, Inc.   "
2692,20070709017229A,0,"(-23) 07/09/07 AIRCRAFT DEPARTED LAKELAND, FL (LAL) AT 800, VFR SOUTHBOUND. NO FLIGHT PLAN FILED. NO FURTHER CONTAC","(-23) 07/09/07 aircraft departed lakeland, fl (lal) at 800, vfr southbound.",vfr southbound,Visual flight rules,Q907246," Visual flight rules (VFR) are a set of regulations under which a pilot operates an aircraft in weather conditions generally clear enough to allow the pilot to see where the aircraft is going. Specifically, the weather must be better than basic VFR weather minima, i.e. in visual meteorological conditions (VMC), as specified in the rules of the relevant aviation authority. The pilot must be able to operate the aircraft with visual reference to the ground, and by visually avoiding obstructions and other aircraft.  If the weather is less than VMC, pilots are required to use instrument flight rules, and operation of the aircraft will primarily be through referencing the instruments rather than visual reference. In a control zone, a VFR flight may obtain a clearance from air traffic control to operate as Special VFR. ",Visual flight rules,Q907246," Visual flight rules (VFR) are a set of regulations under which a pilot operates an aircraft in weather conditions generally clear enough to allow the pilot to see where the aircraft is going. Specifically, the weather must be better than basic VFR weather minima, i.e. in visual meteorological conditions (VMC), as specified in the rules of the relevant aviation authority. The pilot must be able to operate the aircraft with visual reference to the ground, and by visually avoiding obstructions and other aircraft.  If the weather is less than VMC, pilots are required to use instrument flight rules, and operation of the aircraft will primarily be through referencing the instruments rather than visual reference. In a control zone, a VFR flight may obtain a clearance from air traffic control to operate as Special VFR. "
2694,20080101010519I,0,(-23) AT APPROXIMATELY 0530 THE AIRCRAFT ATTEMPTED TO DEPART THE UNIVERSITY OF CINCINNATI HOSPITAL LANDING PAD WHEN,(-23) at approximately 0530 the aircraft attempted to depart the university of cincinnati hospital landing pad when,cincinnati hospital,Cincinnati Children's Hospital Medical Center,Q5120231," Cincinnati Children's Hospital Medical Center (CCHMC) is a 700-bed pediatric hospital located in Cincinnati, Ohio. It is ranked third among all Honor Roll hospitals in the 2019-20 U.S. News & World Report survey of best children's hospitals. It is home to the country's busiest pediatric emergency department, performs the second largest number of surgical procedures at a children's hospital in the nation, and is Southwest Ohio's only Level I pediatric trauma center. Cincinnati Children's receives the third-most NIH funds of any pediatric institution in the United States. The pediatric residency training program at Cincinnati Children's is among the largest in the country, training approximately 200 graduate physicians each year. Cincinnati Children's is home to a large neonatology department that oversees newborn nurseries at local hospitals and the medical center's own 59-bed Level IV Newborn Intensive Care Unit. ",Good Samaritan Hospital (Cincinnati),Q5582912," Good Samaritan Hospital, the oldest and largest private teaching and specialty health care facility in Cincinnati, Ohio, United States, was opened in 1852 under the sponsorship of the Sisters of Charity. The hospital is member of TriHealth, a joint operating agreement between Catholic Health Initiatives and Bethesda, Inc. Cincinnati to manage Good Samaritan. The Hospital of the Good Samaritan, at Sixth and Lock streets, was originally the Cincinnati Marine Hospital, built at a cost of $300,000, from a generic pattern by American Architect, Robert Mills. Because there was already a place for merchant seamen (river men) to go, there were insufficient numbers of such men to warrant opening the hospital.  During the Civil War, it was the Military Hospital of Cincinnati, which operated first as a volunteer hospital, supported by community donations, until it was obvious that the war would last more than 90 days, thus it was taken over by the Army Medical Department. After the war, Butler and Worthington purchased the hospital from the government for about $70,000 and donated it to the Sisters of Charity. The original eye hospital was used for a time, and perhaps formed by Dr. Daniel Drake, who received a charter from the Ohio General Assembly for a medical school in 1819 and then in 1821, a charter for the City Infirmary called the Commercial Hospital and Lunatic Asylum of the State of Ohio. ""Commercial"" stood for commerce and this is where the sick and injured river and canal men were brought. "
2695,20070723013849I,0,"(-23) DURING A VFR FLIGHT FROM NORTHWEST REGIONAL AIRPORT, ROANOKE, TX, TO OMAR N. BRADLEY AIRPORT IN MOBERLY, MO, ","(-23) during a vfr flight from northwest regional airport, roanoke, tx, to omar n. bradley airport in moberly, mo,",roanoke,"Roanoke, Texas",Q969223," Roanoke is a city in Denton County, Texas, United States and part of the Dallas – Fort Worth Metroplex. The population was 9,300 at the 2017 census estimate. A small part of the city extends into Tarrant.  The main east-west road through town, State Highway 114 Business, is named ""Byron Nelson Boulevard"" in honor of the golfer who resided in the community. Roanoke is home to many restaurants, as well as a hotel that bank robbers Bonnie and Clyde resided in during the 1930s.  The Northwest Regional Airport is located north of the city center. ","Roanoke, Texas",Q969223," Roanoke is a city in Denton County, Texas, United States and part of the Dallas – Fort Worth Metroplex. The population was 9,300 at the 2017 census estimate. A small part of the city extends into Tarrant.  The main east-west road through town, State Highway 114 Business, is named ""Byron Nelson Boulevard"" in honor of the golfer who resided in the community. Roanoke is home to many restaurants, as well as a hotel that bank robbers Bonnie and Clyde resided in during the 1930s.  The Northwest Regional Airport is located north of the city center. "
2695,20070723013849I,0,"(-23) DURING A VFR FLIGHT FROM NORTHWEST REGIONAL AIRPORT, ROANOKE, TX, TO OMAR N. BRADLEY AIRPORT IN MOBERLY, MO, ","(-23) during a vfr flight from northwest regional airport, roanoke, tx, to omar n. bradley airport in moberly, mo,",tx,Texas,Q1439," Texas (, ; or ""Tejas"", ) is the second largest state in the United States by both area and population. Geographically located in the South Central region of the country, Texas shares borders with the U.S. states of Louisiana to the east, Arkansas to the northeast, Oklahoma to the north, New Mexico to the west, and the Mexican states of Chihuahua, Coahuila, Nuevo Leon, and Tamaulipas to the southwest, and has a coastline with the Gulf of Mexico to the southeast.  Houston is the most populous city in Texas and the fourth largest in the U.S., while San Antonio is the second-most populous in the state and seventh largest in the U.S. Dallas–Fort Worth and Greater Houston are the fourth and fifth largest metropolitan statistical areas in the country, respectively. Other major cities include Austin, the second-most populous state capital in the U.S., and El Paso. Texas is nicknamed ""The Lone Star State"" to signify its former status as an independent republic, and as a reminder of the state's struggle for independence from Mexico. The ""Lone Star"" can be found on the Texas state flag and on the Texan state seal. The origin of Texas's name is from the word ""taysha"", which means ""friends"" in the Caddo language.  Due to its size and geologic features such as the Balcones Fault, Texas contains diverse landscapes common to both the U.S. Southern and Southwestern regions. Although Texas is popularly associated with the U.S. southwestern deserts, less than 10% of Texas's land area is desert. Most",Texas,Q1439," Texas (, ; or ""Tejas"", ) is the second largest state in the United States by both area and population. Geographically located in the South Central region of the country, Texas shares borders with the U.S. states of Louisiana to the east, Arkansas to the northeast, Oklahoma to the north, New Mexico to the west, and the Mexican states of Chihuahua, Coahuila, Nuevo Leon, and Tamaulipas to the southwest, and has a coastline with the Gulf of Mexico to the southeast.  Houston is the most populous city in Texas and the fourth largest in the U.S., while San Antonio is the second-most populous in the state and seventh largest in the U.S. Dallas–Fort Worth and Greater Houston are the fourth and fifth largest metropolitan statistical areas in the country, respectively. Other major cities include Austin, the second-most populous state capital in the U.S., and El Paso. Texas is nicknamed ""The Lone Star State"" to signify its former status as an independent republic, and as a reminder of the state's struggle for independence from Mexico. The ""Lone Star"" can be found on the Texas state flag and on the Texan state seal. The origin of Texas's name is from the word ""taysha"", which means ""friends"" in the Caddo language.  Due to its size and geologic features such as the Balcones Fault, Texas contains diverse landscapes common to both the U.S. Southern and Southwestern regions. Although Texas is popularly associated with the U.S. southwestern deserts, less than 10% of Texas's land area is desert. Most"
2695,20070723013849I,0,"(-23) DURING A VFR FLIGHT FROM NORTHWEST REGIONAL AIRPORT, ROANOKE, TX, TO OMAR N. BRADLEY AIRPORT IN MOBERLY, MO, ","(-23) during a vfr flight from northwest regional airport, roanoke, tx, to omar n. bradley airport in moberly, mo,",omar n,Omar Bradley,Q207955," General of the Army Omar Nelson Bradley (February 12, 1893 – April 8, 1981) was a senior officer of the United States Army during and after World War II. Bradley was the first Chairman of the Joint Chiefs of Staff and oversaw the U.S. military's policy-making in the Korean War.  Born in Randolph County, Missouri, Bradley worked as a boilermaker before entering the United States Military Academy at West Point. He graduated from the academy in 1915 alongside Dwight D. Eisenhower as part of ""the class the stars fell on."" During World War I, Bradley guarded copper mines in Montana. After the war, Bradley taught at West Point and served in other roles before taking a position at the War Department under General George Marshall. In 1941, Bradley became commander of the United States Army Infantry School.  After the U.S. entrance into World War II, Bradley oversaw the transformation of the 82nd Infantry Division into the first American airborne division. He received his first front-line command in Operation Torch, serving under General George S. Patton in North Africa. After Patton was reassigned, Bradley commanded II Corps in the Tunisia Campaign and the Allied invasion of Sicily. He commanded the First United States Army during the Invasion of Normandy. After the breakout from Normandy, he took command of the Twelfth United States Army Group, which ultimately comprised forty-three divisions and 1.3 million men, the largest body of American soldiers ever to serve under a single field commander.  After the war, Bradley headed the",Omar Bradley,Q207955," General of the Army Omar Nelson Bradley (February 12, 1893 – April 8, 1981) was a senior officer of the United States Army during and after World War II. Bradley was the first Chairman of the Joint Chiefs of Staff and oversaw the U.S. military's policy-making in the Korean War.  Born in Randolph County, Missouri, Bradley worked as a boilermaker before entering the United States Military Academy at West Point. He graduated from the academy in 1915 alongside Dwight D. Eisenhower as part of ""the class the stars fell on."" During World War I, Bradley guarded copper mines in Montana. After the war, Bradley taught at West Point and served in other roles before taking a position at the War Department under General George Marshall. In 1941, Bradley became commander of the United States Army Infantry School.  After the U.S. entrance into World War II, Bradley oversaw the transformation of the 82nd Infantry Division into the first American airborne division. He received his first front-line command in Operation Torch, serving under General George S. Patton in North Africa. After Patton was reassigned, Bradley commanded II Corps in the Tunisia Campaign and the Allied invasion of Sicily. He commanded the First United States Army during the Invasion of Normandy. After the breakout from Normandy, he took command of the Twelfth United States Army Group, which ultimately comprised forty-three divisions and 1.3 million men, the largest body of American soldiers ever to serve under a single field commander.  After the war, Bradley headed the"
2695,20070723013849I,0,"(-23) DURING A VFR FLIGHT FROM NORTHWEST REGIONAL AIRPORT, ROANOKE, TX, TO OMAR N. BRADLEY AIRPORT IN MOBERLY, MO, ","(-23) during a vfr flight from northwest regional airport, roanoke, tx, to omar n. bradley airport in moberly, mo,",bradley airport,Bradley International Airport,Q1420233," Bradley International Airport is a civil/military airport in Windsor Locks, Connecticut. Owned and operated by the Connecticut Airport Authority, it is the second-largest airport in New England.  The airport is about halfway between Hartford and Springfield. It is Connecticut's busiest commercial airport and the second-busiest airport in New England after Boston's Logan International Airport, with about 6.4 million passengers in 2017. The four largest carriers at Bradley International Airport are Southwest, Delta, JetBlue, and American with market shares of 29%, 19%, 15%, and 14%, respectively. As a dual-use military facility with the U.S. Air Force, the airport is home to the 103d Airlift Wing (103 AW) of the Connecticut Air National Guard.  In 2017 Bradley was the 53rd-busiest airport in the United States, by passengers enplaned. Bradley was originally branded as the ""Gateway to New England"" and is home to the New England Air Museum. In 2016 Bradley International launched its new brand, ""Love The Journey"".  The Federal Aviation Administration (FAA) National Plan of Integrated Airport Systems for 2017–2021 categorized it as a medium-hub primary commercial service facility.  The former discount department store chain Bradlees was named after the airport as many of the early planning meetings were held there. ",Bradley International Airport,Q1420233," Bradley International Airport is a civil/military airport in Windsor Locks, Connecticut. Owned and operated by the Connecticut Airport Authority, it is the second-largest airport in New England.  The airport is about halfway between Hartford and Springfield. It is Connecticut's busiest commercial airport and the second-busiest airport in New England after Boston's Logan International Airport, with about 6.4 million passengers in 2017. The four largest carriers at Bradley International Airport are Southwest, Delta, JetBlue, and American with market shares of 29%, 19%, 15%, and 14%, respectively. As a dual-use military facility with the U.S. Air Force, the airport is home to the 103d Airlift Wing (103 AW) of the Connecticut Air National Guard.  In 2017 Bradley was the 53rd-busiest airport in the United States, by passengers enplaned. Bradley was originally branded as the ""Gateway to New England"" and is home to the New England Air Museum. In 2016 Bradley International launched its new brand, ""Love The Journey"".  The Federal Aviation Administration (FAA) National Plan of Integrated Airport Systems for 2017–2021 categorized it as a medium-hub primary commercial service facility.  The former discount department store chain Bradlees was named after the airport as many of the early planning meetings were held there. "
2695,20070723013849I,0,"(-23) DURING A VFR FLIGHT FROM NORTHWEST REGIONAL AIRPORT, ROANOKE, TX, TO OMAR N. BRADLEY AIRPORT IN MOBERLY, MO, ","(-23) during a vfr flight from northwest regional airport, roanoke, tx, to omar n. bradley airport in moberly, mo,",moberly,"Moberly, Missouri",Q961380," Moberly is a city in Randolph County, Missouri, United States. The population was 13,974 at the 2010 census. It is part of the Columbia, Missouri metropolitan area. ","Moberly, Missouri",Q961380," Moberly is a city in Randolph County, Missouri, United States. The population was 13,974 at the 2010 census. It is part of the Columbia, Missouri metropolitan area. "
