IDENT,PROBLEM,ACTION
104662,SNIFFLER VALVES NEED TO BE CLEANED.,CLEANED BOTH SNIFFLER VALVES.
104663,#2 & 4 CYLINDER INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.
104664,R/H ENGINE BAFFLE COVER CAM LOCK NEEDS TO BE FIXED.,REMOVED & REPLACED BROKEN CAM LOCK.
104665,#4 INTAKE LEAKS ON R/H ENG.,REPLACED GASKET.
104666,NLG DOWN LOCK AFT TRUNNION BOLT LOOSE ON R/H.,TIGHTENED BOLT.
104667,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",REMOVED & REPLACED GASKETS.
104668,SNIFFLER VALVES DIRTY.,CLEANED VALVES.
104669,#3 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED GASKET.
104670,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",REMOVED & REPLACED GASKETS.
104671,"DURING PREFLIGHT, WHEN ENGINE COVER WAS REMOVED, OIL OBSERVE","INSPECTED, FOUND EVIDENCE OF ROCKER COVER GASKETS LEAKI"
104672,FRONT BAFFLE SEAL TORN.,ZIP TIED & APPLIED SILICONE TO BAFFLE SEAL.
104673,L/H ENG FAILED 3 TIMES AFTER COMING TO A STOP AFTER LANDING.,"INSPECTED L/H ENGINE, NO DEFECTS FOUND. PERFORMED GROUN"
104674,R/H REAR BAFFLE INSP HOLE WORN.,INSTALLED BAFFLE PATCH.
104675,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104676,#4 INTAKE LEAKS.,REMOVED & REPLACED GASKET.
104677,BLACK FWD COWL (ENG) SEAL WORN BY INTAKE FILTER.,APPLIED BLACK SILICONE TO FRONT ENGINE BAFFLE SEAL.
104678,END OF FLIGHT; ENGINE OVERSPEED 3350 THEN TO PARKING.,"C/W LYCOMING , NO DEFECTS NOTED."
104679,#2 & 4 INTAKES LEAKING ON L/H ENGINE.,REMOVED & REPLACED GASKETS.
104680,RIGHT ENGINE W/ SUSTAINED OVERSPEED GENERALLY AROUND 2720. A,RAN A/C; RPM CHECKS GOOD. FOR MX FLIGH
104681,R/H ENGINE HAS OIL LEAK ON LIFT BOLT.,"REMOVED BOLT, APPLIED HIGH TEMP SILICONE & RETORQUED BO"
104682,MIXTURE NEEDS TO BE RESET.,"SET IDLE ADJUSTMENT TO SPECS, OPS GOOD."
104683,#2 CYLINDER INTAKE O-RING UNSEATED.,REMOVED & REPLACED GASKET & O-RING.
104684,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.
104685,BOTH BAFFLE PLUGS DAMAGED.,REPLACED BAFFLE PLUGS.
104686,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104687,"#1, 2 & 3 INTAKE TUBE GASKETS LEAKING.",INSTALLED NEW GASKETS.
104688,BLACK SEAL FOR ENG WORN AT INTAKE.,APPLIED RTV TO WORN AREAS.
104689,#1 CYL EXHAUST VALVE FAILED .,LEAK CK GOOD.
104690,#4 CYL EXHAUST VALVE FAILED .,LEAK & OPS CK GOOD.
104691,#1 CYL EXHAUST VALVE FAILED .,"INSTALLLED FWD BAFFLE, SIDE BAFFLE, ALTERNATOR & ATTACH"
104692,#1 CYL EXHAUST VALVE FAILED .,"REMOVED FWD BAFFLE, SIDE BAFFLE, ALTERNATOR & ATTACHING"
104693,#4 CYL EXHAUST VALVE FAILED .,INSTALLED & TORQUED INJECTOR LINE. REINSTALLED #4 CYL &
104694,#4 CYL EXHAUST VALVE FAILED .,REMOVED #4 CYL SIDE & AFT BAFFLE. REMOVED #4 INJECTOR L
104695,2 & 3 INTAKES LEAKING.,REPLACED INTAKE GASKETS.
104696,#4 CYL FAILED .,"REMOVED BAFFLING, INTAKE, EXHAUST, OIL RETURN & INJ LIN"
104697,#4 CYL FAILED .,"REINSTALLED EXHAUST, INTAKE, INJECTION LINE & BAFFLING."
104698,#3 CYL INTAKE L/H ENG LEAKS.,REPLACED GASKET.
104699,L/H ENG #2 CYL HAS LOW COMPRESSION.,"RAN A/C, OPS & LEAK CK GOOD."
104700,L/H ENG #2 CYL HAS LOW COMPRESSION.,"REMOVED BAFFLING, #2 INTAKE TUBE, #2 EXHAUST TUBE, #2 &"
104701,L/H ENG #2 CYL HAS LOW COMPRESSION.,"REINSTALLED LIFTERS, PUSH RODS & ROCKERS. INTAKE PASSED"
104702,L/H ENG #2 CYL HAS LOW COMPRESSION.,REMOVED INTAKE & EXHAUST VALVES. REMOVED & REPLACED EXH
104703,L/H ENG #2 CYL HAS LOW COMPRESSION.,"TEMPORARILY REINSTALLED EXHAUST PUSH ROD, ROCKER & ROCK"
104704,L/H ENG #2 CYL HAS LOW COMPRESSION.,"REMOVED ROCKER COVER, EXHAUST ROCKER & EXHAUST PUSH ROD"
104705,#2 INTAKE LEAKING.,REMOVED & REPLACED GASKET.
104706,"#2, 3 & 4 INTAKE GASKETS LEAKING.",REPLACED GASKETS.
104707,SCREW FOR ENG BAFFLE BEHIND OIL DIPSTICK TUBE LOOSE.,TIGHTENED SCREW.
104708,#2 INTAKE LEAKING ON L/H ENGINE.,INSTALLED NEW GASKET.
104709,#3 & 4 INTAKES LEAKING ON R/H ENGINE.,INSTALLED NEW INTAKE GASKETS.
104710,#2 CYL BAFFLE MISSING SCREW.,INSTALLED SCREW.
104711,#3 & 4 INTAKE GASKETS ARE LEAKING.,"OK, OIL ON EDGES."
104712,#4 CYL NEEDS TO BE CHANGED (FAILED ).,FINISHED ENGINE ASSEMBLY.
104713,#3 CYL NEEDS TO BE CHANGED (FAILED ).,IFINISHED ENGINE ASSEMBLY.
104714,CYL #4 EXHAUST VALVE LASH IS EXCESSIVE.,"INSTALLED #31 PUSH ROD, LASH CK GOOD."
104715,"CYL #2, 3, 1 CHT RECEPTICLES REQUIRE REPLACEMENT.",INSTALLED NEW CHT RECEPTILES.
104716,CYL #2 INTAKE ROCKER ARM REQUIRES REPLACEMENT.,REMOVED & REPLACED ARM W/ SERVICEABLE.
104717,#2 CYL NEEDS TO BE CHANGED (FAILED ).,"REMOVED BAFFLING, CYL, PISTON & ATTACHING HARDWARE."
104718,#4 CYL NEEDS TO BE CHANGED (FAILED ).,"REMOVED BAFFLING, CYL, PISTONS & ATTACHING HARDWARE."
104719,#1 CYL NEEDS TO BE CHANGED (FAILED ).,REMOVED #1 CYL & PISTON. INSTALLED PISTON RINGS & CYL.
104720,#2 CYL NEEDS TO BE CHANGED (FAILED ).,INSTALLED PISTON RINGS & CYL. LUBED & TORQUED CYL BASE
104721,#3 CYL NEEDS TO BE CHANGED (FAILED ).,REMOVED #3 CYL & PISTON. INSTALLED PISTON RINGS & CYL.
104722,#4 CYL NEEDS TO BE CHANGED (FAILED ).,INSTALLED PISTON RINGS & CYL. LUBED & TORQUED CYL BASE
104723,#1 CYL NEEDS TO BE CHANGED (FAILED ).,"REMOVED FWD BAFFLE, MUFFLER, ALTERNATOR, INTAKE & LINES"
104724,#1 CYL NEEDS TO BE CHANGED (FAILED ).,"INSTALLED INTAKE TUBE, CHT PROBE, INTERCYL BAFFLING, BA"
104725,#2 CYL NEEDS TO BE CHANGED (FAILED ).,"INSTALLED INTAKE TUBE, CHT PROBE, INTERCYL BAFFLING, BA"
104726,#3 CYL NEEDS TO BE CHANGED (FAILED ).,"REMOVED AFT BAFFLE, INTAKE LINES (OIL & FUEL) & OIL COO"
104727,#3 CYL NEEDS TO BE CHANGED (FAILED ).,"INSTALLED INTAKE TUBE, BAFFLES, CHT PROBE, WIRING & INJ"
104728,#4 CYL NEEDS TO BE CHANGED (FAILED ).,"INSTALLED INTAKE TUBE, CHT PROBE, WIRING, INJECTOR LINE"
104729,AFT R/H SCREW FOR BAFFLE BY DIPSTICK LOOSE.,TIGHTENED SCREW.
104730,FWD BAFFLE SEAL WORN BY ENG INTAKE.,APPLIED SEALANT TO BAFFLE.
104731,EVIDENCE OF OIL LEAK ON PILOT SIDE OF ENGINE.,INSP & FOUND TO BE OLD OIL. CLEANED ENGINE.
104732,"#1, 3 CYL BAFFLE TENSION CABLE BROKEN.",INSTALLED NEW TENSION CABLE.
104733,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104734,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104735,R/H BAFFLE TIE BROKEN.,REMOVED & REPLACED BAFFLE TIE.
104736,#3 AFT BAFFLE ATTACH FITTING CRACKED.,REMOVED & REPLACED ATTACH FITTING.
104737,SCROLL NEEDS TO BE CLEANED.,CLEANED SCROLL.
104738,L/H ENGINE BAFFLE DEFLECTOR CRACKED.,PATCHED BAFFLE.
104739,L/H ENGINE BAFFLE CRACKED.,REMOVED & REPLACED BAFFLE.
104740,#1 INTAKE TUBE NEEDS TO BE REPLACED.,INSTALLED INTAKE TUBE.
104741,#3 INTAKE TUBE NEEDS TO BE REPLACED.,INSTALLED INTAKE TUBE.
104742,R/H ENGINE BAFFLE DEFLECTOR CRACKED.,REPLACED BAFFLE DEFLECTOR.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,SEALED BAFFLES.
104744,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,REMOVED ENGINE FROM AIRFRAME.
104745,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,WASHED FUSELAGE & BAFFLES. INSTALLED SCROLL & CLEANED.
104746,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,"INSTALLED OIL COOLERS & LINES ON COOLERS, ADEL CLAMP &"
104747,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,REMOVED & CLEANED BAFFLING FROM ENGINE. BEGAN TRANSFERR
104748,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,INSTALLED STARTER FROM ORIGINAL ENGINE. REMOVED & CLEAN
104749,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,REPLACED BAFFLE FELT. BEGAN INSTALLING ENGINE BAFFLING.
104750,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,INSTALLED ENGINE ON AIRFRAME. BEGAN ROUTING FUEL LINES.
104751,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,INSTALLED TOP BAFFLE & APPLIED SEALANT. INSTALLED & TOR
104752,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,COMPLETED ENGINE INSTALLATION. TOQRUED HANGER NUTS. CK'
104753,"MANIFOLD PSI WAS HIGH IN HOVER, 26 IN. PERFORMED LOW ROTOR R",REMOVED & REPLACED ALL INTAKE GASKETS & SEALS.
104754,"MANIFOLD PSI WAS HIGH IN HOVER, 26 IN. PERFORMED LOW ROTOR R","RAN A/C, CONFIRMED KNOCKING NOISE FROM PASS DOWN. FOUND"
104755,CYL #2 REQUIRES NEW ROCKER COVER GASKET.,REMOVED & REPLACED GASKET W/ NEW.
104756,#1 INTAKE GASKET IS LEAKING.,REPLACED GASKET.
104757,"#2, 3, 4 INTAKES LEAKING ON L/H ENGINE.",INSTALLED NEW GASKETS.
104758,"#1, 2, 3 & 4 INTAKES LEAKING ON R/H ENGINE.",INSTALLED ALL NEW GASKETS.
104759,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104760,"UPON LEANING MIXTURE ON GROUND; ENGINE QUIT. RESTARTED, SPUT","RAN A/C, WARMED ENGINE FOR 5 MINUTES. ALL CHECKS GOOD."
104761,#1 & 3 INTAKE GASKETS LEAKING.,INSTALLED NEW GASKETS.
104762,#2 & 3 INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.
104763,L/H FWD ENG SEAL NEEDS RIVET.,INSTALLED NEW RIVET.
104764,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104765,"FWD BLACK BAFFLE SEAL LOOSE, R/H LWR SIDE.",SECURED SEAL W/ RIVET.
104766,#2 INTAKE TUBE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104767,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.
104768,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.,"SERVICED ENG W/ 8 QTS MINERAL OIL. RAN A/C, OPS & LEAK"
104769,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.,REMOVED AIR INTAKE BOX. REMOVED MUFFLER & STACKS. REMOV
104770,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.,INSTALLED REPAIRED CYLINDER ASSY W/ NEW BASE O-RING. TO
104771,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.,REMOVED & REPLACED EXHAUST PUSH ROD W/ -29 PUSH ROD. EX
104772,"DURING A/C RUN UP, ENGINE FAILED ON RIGHT MAGNETO. ENGINE FA","STARTED ENGINE USING NORMAL PROCEDURES. RUN UP ENGINE,"
104773,R/H BAFFLE PLUG REQUIRES A PATCH.,INSTALLED PATCH ON BAFFLING.
104774,#2 & 4 CYLINDER INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.
104775,#2 CYL SIDE BAFFLE MISSING BOLT.,INSTALLED BOLT IN #2 CYL SIDE BAFFLE.
104776,#3 ROCKER GASKET LEAKING.,REMOVED & REPLACED GASKET.
104777,A/C IS BARELY CAPABLE OF A 1 FOOT HOVER @ LIMITING MANIFOLD,"INSPECTED INTAKE TUBES, GASKETS & O-RINGS, NO DEFECTS."
104778,A/C BEGAN TO LEAK LARGE QUANTITIES OF OIL OUT OF RIGHT COWLI,CLEANED A/C & ENGINE COMPARTMENT. FOUND OIL LEAKING FRO
104779,ENGINE BACK FIRED WHILE IN A HOVER.,"PERFORMED GROUND RUN, ADJUSTED IDLE & MIXTURE SETTINGS,"
104780,ENGINE BACK FIRED WHILE IN A HOVER.,REPLACED CYL #1 INDUCTION TUBE & GASKETS. GROUND RUN RE
104781,#3 INTAKE TUBE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
104782,BLACK SEAL WEARING AGAINST ENG INTAKE FILTER.,APPLIED BLACK RTV.
104783,#3 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED GASKET.
104784,BLACK SEAL FOR FWD BAFFLE NEEDS RTV.,SEALED AREA W/ RTV.
104785,"SCREW FOR BAFFLE, BEHIND OIL DIPSTICK TUBE, LOOSE.",TIGHTENED SCREW.
104786,#1 & 3 INTAKES LEAK.,"REMOVED, CLEANED & REPLACED W/ NEW INTAKE GASKETS."
104787,#1 & 2 CYL INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.
104788,#2 CYL ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.
104789,#2 ROCKER COVER LEAKING.,REMOVED & REPLACE GASKET.
104790,"ON CLIMB, NOTICED M VOLTS DROPPED TO 26, RPM WAS CONSTANT. O","RAN A/C, COULD NOT DUPLICATE."
104791,#4 & 3 INTAKES LEAKING ON R/H ENGINE.,INSTALLED NEW INTAKE GASKETS.
104792,"L/H ENGINE #3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED W/ NEW GASKETS.
104793,PATCH ON R/H UPPER BAFFLE HAS SMALL CRACK.,STOP DRILLED CRACK.
104794,"LWR ENG FWD BLACK BAFFLE SEAL, BY AIR FILTER, HAS WORN SPOTS",APPLIED 2 PART EPOXY.
104795,#4 CYL BAFFLE PIECE DAMAGED.,REPLACED BAFFLE SECTION.
104796,"HARDWARE ON BAFFLING, BY STARTER, MISSING.",REPLACED MISSING HARDWARE.
104797,#2 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104798,"#1, 3 INTAKE GASKETS LEAKING.",REMOVED & REPLACED GASKETS.
104799,"#3, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED GASKETS.
104800,BAFFLE SEAL STAPLES LOOSE ON #1 CYLINDER BAFFLE SECTION.,RESECURED BAFFLE SEAL W/ POP RIVETS.
104801,#2-4 BAFFLE INTERCONNECT ROD BROKEN.,REMOVED & REPLACED INTERCONNECT ROD.
104802,IN TRAFFIC PATTERN HEARD TICKING/CHIRPING NOISE. ONLY OCCURE,RAN A/C AT VARIOUS POWER SETTINGS. COULD NOT DUPLICATE
104803,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.
104804,L/H ENG #4 INTAKE GASKET IS LEAKING.,REPLACED GASKET.
104805,#2 CYL ROCKER COVER GASKET LEAKING ON L/H ENGINE.,REMOVED & REPLACED GASKET.
104806,"#2, 3, 4 INTAKE GASKETS LEAKING ON L/H ENGINE.",REMOVED & REPLACED W/ NEW GASKETS.
104807,L/H ENG #1 CYLINDER FWD BAFFLE SEAL NEEDS TO BE SECURED.,SECURED FWD BAFFLE SEAL.
104808,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.
104809,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.
104810,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.
104811,"L/H ENG, CYL #2 COMPRESSION 20/80; LEAKING OUT OF EXHAUST VA",LEAK CK GOOD.
104812,"L/H ENG, CYL #2 COMPRESSION 20/80; LEAKING OUT OF EXHAUST VA",REMOVED CYL ASSY & REPLACED W/ REPAIRED CYL ASSY. INSTA
104813,#3 INTAKE LEAKING ON R/H ENGINE.,REPLACED INTAKE GASKET.
104814,"2, 3 & 4 INTAKES LEAKING ON L/H ENGINE.",REMOVED & REPLACED GASKETS.
104815,BRACKET SUPPORT FOR ENG OIL COOLER BAFFLE CRACKED.,REPLACED BRACKET MADE OUT OF STAINLESS STEEL.
104816,LEFT FRONT BAFFLING HAS A CRACK.,STOP DRILLED CRACK.
104817,CYL #4 AFT BAFFLE IS CRACKED.,STOP DRILLED.
104818,L/H SIIDE OF ENGINE CASE PLUG LEAKING OIL.,OPS & LEAK CK GOOD.
104819,L/H SIIDE OF ENGINE CASE PLUG LEAKING OIL.,"REMOVED PLUG, CLEANED THREAD. APPLIED NEW SEALANT & REI"
104820,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.
104821,#2 INTAKE IS LEAKING.,INSTALLED NEW GASKET.
104822,"#1-3 BAFFLE TIE WIRE LOOSE, RUBBING #1 DRAIN TUBE.","INSTALLED NEW TIE WIRE, INSPECTED OIL DRAIN TUBE - NO D"
104823,"DURING FLIGHT, RPM EXCEEDED 2700 FOR A FEW SECONDS.",DOWNLOADED FLIGHT DATA. FOUND OVERSPEED TO BE MOMENTARY
104824,#2 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.
104825,"ENGINE STARTED & IDLED NORMALLY FOR ABOUT 2 MINUTES, THEN SU","PERFORMED GROUND RUN, NO DEFECTS NOTED. OPS GOOD."
104826,"ENGINE STARTED & IDLED NORMALLY FOR ABOUT 2 MINUTES, THEN SU",INSPECTED A/C ENGINE. CLEANED BOTH SNIFFLER VALVES. REM
104827,R/H ENGINE TOP BACK BONE SEEPING OIL.,RETORQUED TOP BACK BOLTS.
104828,"#3, 4 INTAKE GASKETS LEAKING ON R/H ENGINE.",INSTALLED NEW GASKETS.
104829,R/H ENGINE TOP BACK BONE SEEPING OIL.,"PERFORMED GROUND RUN, LEAK CK'ED GOOD."
104830,#3 CYL FWD BAFFLE PLUG MISSING.,INSTALLED NEW PLUG.
104831,"DURING RUN UP MAG CK; RPM DROPPED NORMALLY, BUT WOULD RISE &","RAN A/C, OPS CK GOOD. COULD NOT DUPLICATE DISPCREPANCY."
104832,L/H ENGINE #3 ROCKER COVER LEAKING.,REPLACED GASKET.
104833,R/H ENGINE #3 ROCKER COVER LEAKING.,REPLACED GASKET.
104834,R/H ENGINE I/B BAFFLE TIE BROKEN.,REMOVED & REPLACED BAFFLE TIE.
104835,PILOT REQUESTED START ASSIST.,STARTED A/C.
104836,#4 INTAKE IS LEAKING.,REMOVED & REPLACED W/ NEW GASKET.
104837,"R/H BAFFLE SPRING BROKEN, BAFFLE CHAFING ON #3 OIL RETURN LI",INSPECTED & FOUND TO BE OK FOR SERVICE.
104838,#1 & 2 INTAKE GASKETS LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.
104839,R/H ENG #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104840,"L/H ENG #2, 1 INTAKE GASKETS LEAKING.",REMOVED & REPLACED INTAKE GASKETS.
104841,#1 & 4 INTAKES LEAKING.,REPLACED GASKETS.
104842,PILOT REQUIRES START ASSIST.,STARTED A/C.
104843,PILOT REQUIRES START ASSIST.,STARTED A/C.
104844,PILOT REQUESTS IDLE ADJUSTMENT.,ADJUSTED IDLE SPEED.
104845,LOWER OIL COOLER LINE RESTING ON ACCESSORY PLATE STUD.,REPOSITIONED LOWER OIL COOLER LINE.
104846,#3 & 4 CYL ROCKER COVERS LEAKING.,REMOVED & REPLACED GASKETS.
104847,SCREW MISSING ON #2 CYL BAFFLE & STAND OFF.,INSTALLED SCREW & WASHER.
104848,OIL COOLER LOWER FITTING IS LOOSE.,LEAK CK GOOD.
104849,R/H FWD BAFFLE SEAL LOOSE.,RESECURED BAFFLE SEAL.
104850,OIL COOLER LOWER FITTING IS LOOSE.,TIGHTENED FITTING.
104851,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.
104852,LOWER OIL COOLER OIL LINE NEEDS TO BE REPOSITIONED.,LEAK CK GOOD.
104853,LOWER OIL COOLER OIL LINE NEEDS TO BE REPOSITIONED.,REPOSITIONED LINE.
104854,#2 & 4 CYL I/B BAFFLE WIRE IS OUTSIDE INNER CYL BAFFLE.,REPOSITIONED WIRE.
104855,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.
104856,MX FLIGHT REQUIRED FOR M/R LEAK.,COMPLETED REMOVAL OF ENGINE FROM A/C. BEGAN DISCONNECTI
104857,MX FLIGHT REQUIRED FOR M/R LEAK.,INSTALLED & CONNECTED ENGINE IAW
104858,"#2, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED GASKETS.
104859,FRONT BLACK SEAL FOR ENG COWL NEEDS RTV FOR WORN SPOTS.,RTV APPLIED WHERE NEEDED.
104860,"CHT GAUGE DROPS TO ZERO, MOVES ERRATICALLY W/IN GREEN BAND &","REMOVED & REPLACED CHT PROBE. GROUND RAN A/C, OPS CK GO"
104861,RIVET PULLED THROUGH ON #4 CYLINDER BAFFLE SEAL.,INSTALLED NEW POP RIVET IN SEAL.
104862,BAFFLE SEAL SECTION BY AIR FILTER NEEDS REPAIR.,REPAIRED SEAL SECTION W/ SILICONE & NEW POP RIVETS.
104863,#1 CYL INTAKE LEAKS.,REPLACED GASKET.
104864,"SCREW, BEHIND OIL DIPSTICK FOR BAFFLE, LOOSE.",TIGHTENED SCREW.
104865,FRONT SEAL LOOSE & HAS WORN SPOTS (BAFFLE SEAL).,SECURED SEAL & PUT RTV AT WORN SPOTS.
104866,"#3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED W/ NEW GASKETS.
104867,BAFFLE BRACKET CRACKED ON #3 CYLINDER.,REMOVED BAFFLE SECTION & OIL PRESSURE LINE. REPLACED BR
104868,#2 CYLINDER HAS LOW COMPRESSION (58/80).,RAN UP A/C TO OPERATING TEMPERATURE & RECHECKED COMPRES
104869,SCREW MISSING FROM R/H AFT BAFFLE.,INSTALLED NEW SCREW.
104870,#3 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW INTAKE GASKET.
104871,#3 & 4 INTAKES LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
104872,BAFFLE BY STARTER WORN THROUGH & CRACKED.,REMOVED L/H FWD BAFFLE & FABRICATED PATCH FROM LIKE MAT
104873,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.
104874,#2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.
104875,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.
104876,SCREW MISSING ON #1 CYLINDER BAFFLE SECTION.,REPLACED W/ NEW SCREW.
104877,#3 ROCKER GASKET IS LEAKING.,REMOVED & REPLACED W/ NEW SILICONE GASKET.
104878,OIL COOLER BOLT REMOVED,REINSTALLED BOLT
104879,L/H ENG I/B FWD BAFFLE SCREW LOOSE.,REMOVED COWLING TO ACCESS SCREW. TIGHTENED SCREW. INSTA
104880,L/H ENG OIL COOLER BAFFLE CORNER NEEDS TO BE INSP. REMOVE FO,COMPLETED INSTALLATION OF BAFFLE.
104881,BAFFLE SEAL ON RIGHT FRONT CYLINDER NEEDS TO BE REPLACED.,REPLACED W/ NEW BAFFLE SEAL. SECURED W/ POP RIVETS.
104882,L/H #3 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.
104883,ENGINE INTAKE BOOT TORN.,REPLACED BOOT.
104884,#4 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104885,"#2, 4 INTAKE GASKETS ARE LEAKING.",REMOVED & REPLACED GASKETS.
104886,ENGINE SHAKING & ROUGHNESS ON START UP.,COMPLETED REASSEMBLY OF ENGINE. SERVICED ENGINE W/ MINE
104887,#2 & 4 INTAKES LEAKING.,REPLACED GASKETS.
104888,#3 CYLINDER HAS LOW COMPRESSION.,FOR CYLINDER REPLACEMENT.
104889,BAFFLE PLUGS WORN.,REMOVED & REPLACED BAFFLE PLUGS.
104890,R/H BAFFLE PLUG HOLE NEEDS DOUBLER.,INSTALLED DOUBLER.
104891,#4 CYLINDER OIL DRAIN LINE CLAMPS LOOSE.,TIGHTENED CLAMPS.
104892,#2 CYLINDER INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104893,CYL #3 COMPRESSION 18/80.,BEGAN DISASSEMBLY OF ACCESSORIES TO FACILITATE CYLINDER
104894,CYL #3 COMPRESSION 18/80.,INSTALLED & TORQUED NEW CYL ASSY. DRY LASH CK GOOD. INS
104895,CYL #3 COMPRESSION 18/80.,"COMPLETED INSTALLATION OF ACCESSORIES, SERVICED SUMP W/"
104896,TOP OIL COOLER HOSE KINKED & NOT SECURED.,UNKINKED & SECURED HOSE.
104897,L/H ENG #1 & 3 CYL BAFFLE ROD LOOSE.,TIGHTENED TIE ROD NUT.
104898,#3 CYL BAFFLE SCREW LOOSE.,TIGHTENED SCREW.
104899,LEFT BAFFLE LOOSE (#2 CYL BAFFLE SEAL).,REATTACHED BAFFLE SEAL.
104900,#3 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
104901,"R/H ENG #2, 4 INTAKE GASKETS LEAKING.",REPLACED INTAKE GASKETS.
104902,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
104903,BAFFLE PLUG IS BROKEN.,REMOVED & REPLACED BAFFLE PLUG.
104904,RIGHT ENGINE BAFFLE SEAL LOOSE ON BOTTOM CORNER.,INSTALLED NEW SEAL IN BOTTOM CORNER.
104905,"ANGLE BROKEN, L/H LOWER COWL O/B, NEAR FWD LATCH/PIN HOLE.",REPLACED BRACKET W/ PART MADE OF LIKE MATERIAL.
104906,#2 & 3 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED GASKETS.
104907,STARTED ENGINE & IT RAN WELL FOR ABOUT 30 SECONDS BEFORE LOS,REMOVED ENGINE BAFFLES TO FACILITATE PERFORMING OF LYCO
104908,STARTED ENGINE & IT RAN WELL FOR ABOUT 30 SECONDS BEFORE LOS,"STARTED A/C, ENGINE RAN SMOOTH FOR 20 SECONDS & THEN BE"
104909,STARTED ENGINE & IT RAN WELL FOR ABOUT 30 SECONDS BEFORE LOS,COMPLETED INSTALLATION OF BAFFLES. RAN UP A/C. OPS & LE
104910,STARTED ENGINE & IT RAN WELL FOR ABOUT 30 SECONDS BEFORE LOS,PERFORMED  ON CYL #4. INSTALLED ALL ROCKER COVER
