c5,c119,c119_output
20000816042639A,"(-23) THE PILOT TOOK OFF FROM MERRILL FIELD RUNWAY 24, DURING CLIMB OUT THE ENGINE CEASED TO DEVELOP POWER. THE PIL",[[]]
20000630042539A,(-23) THE FOLLOWING INFORMATION WAS PROVIDED BY THE WITNESS TO THE PILOT'S ACTIONS AND SUBSEQUENT TAKEOFF. HE STATE,[[]]
20000713020569I,(-23)EXTENSIVE MAINTENANCE HAD BEEN ACCOMPLISHED ON AIRCRAFT. AIRMAN/OWNER WAS SCHEDULED TO TAKE AIRCRAFT TO OSHKOS,[[]]
20000628010849A,"(-23) STUDENT PILOT STATED THAT WHILE PRACTICING DIFFERENT MANEUVERS FOR HIS CHECK RIDE THE NEXT MORNING, THE AIRCR",[[]]
20000709034939I,(-23) DELTA AIRLINES BOEING 737 N947WP WAS PARKED AT SPOT 11 ON THE NORTH RAMP WAITING FOR THUNDERSTORMS TO MOVE OU,[[]]
20000814041259A,"(.19) ON AUGUST 14, 2000, ABOUT 1252 HOURS PACIFIC DAYLIGHT TIME, A BEECH K35, N878R, OWNED AND OPERATED BY THE PIL",[[]]
20000710008249A,(-23) PILOT STATED THAT UPON TAXI THE A/C FAILED TO RESPOND TO STEERING OR BRAKING INPUTS. THE A/C TRAVELED ABOUT 3,[[]]
20000816043069A,"(-23) AMERICAN TRANS AIR, INC. FLIGHT 253 WAS A SCHEDULED PASSENGER FLIGHT FROM CHICAGO MIDWAY AIRPORT (MDW) TO THE",[[]]
20000723035769I,(-23) ABOUT 7:15 AM ON SATURDAY 7/22/2000 I ^PRIVACY DATA OMI^ PIC OF AIRCRAFT N2709R LEFT LBE ON AN IFR FLIGHT SOP,[[]]
20000730035959I,(-23)ON 7/30/00 A CESSNA 150F OPERATED BY ^PRIVACY DATA OMITTED^ DEPARTED WILROADS GARDEN AIRPORT (9K1) AT DODGE CI,[[]]
20000628028249I,"(-23)ON JUNE 28, 2000 AT APPROXIMATELY 1140 AM AN INTERNATIONAL AIR HANDLERS BAGGAGE CART #T-2 BECAME UNHITCHED AND",[[]]
20000827006849A,"(-23) DURING TAKE OFF ROLL THE PILOT'S SEAT MOVED AFT. PILOT PULLED THE THROTTLE OFF, BUT LOSS DIRECTIONAL CONTROL ",[[]]
20000905028709I,(-23)^PRIVACY DATA^ STATED THAT ALL SYSTEMS CHECKED NORMAL. AFTER TAKE OFF AND CLIMBING THROUGH EIGHT HUNDERED FEET,[[]]
20000905016439I,(-23) THE A/C BEGAN TO TAXI WITH THE GROUND POWER UNIT (GPU) STILL CONNECTED. THE ELECTRICAL CABLE WAS PULLED FROM ,[[]]
20001028024229I,"(-23) DURING A/C PUSH BACK, THE TUG LOST POWER CAUSING IT'S CONTROLS TO LOCK UP. THE OPERATOR SCRAPED THE RIGHT FRO",[[]]
20000904027109I,"(-23)DURING APPROACH FOR LANDING, THE LANDING GEAR WOULD NOT COME DOWN. PILOT PERFORMED WHEELS UP LANDING ON GRASS ",[[]]
20001022016149A,"(-23) DURING DEPARTURE FROM A PRIVATE AIRSTRIP AT LUCEDALE, MS. WHILE CLIMBING THROUGH APPROX. 150 FEET AGL., THE A",[[]]
20001114021139I,(-23)THE INSTRUCTOR PILOT STATED THAT HE DID NOT CHECK FUEL PRIOR TO LEAVING BIL AND RELIED ON STUDENT TO CHECK FUE,[[]]
20000830029919I,(-23)THE AIRCRAFT WAS TAXIED WITH A TOW BAR ATTACHED. THE CREW CEASED TAXING AFTER BECOMING AWARE OF THE ATTACHED T,[[]]
20001105038139I,"(-23) ON SUNDAY, NOVEMBER 5, 2000, AT 1225 EST, A BOEING 727, N511DA, FLIGHT 780, OPERATED BY DELTA AIRLINES, REPOR",[[]]
20001027030999I,"(-23)ON FRIDAY OCTOBER 27, 2000, A DC-10 WAS BEING MARSHALLED TO A PARKING SPOT BY PERSONNEL OF PATHFINDER, A FREIG",[[]]
20000929029309I,"(-23) AIRMAN STATED THAT AFTER HE PREFLIGHTED A/C, HE WENT INTO THE OPS HANGER TO FILE HIS FLIGHT PLAN. WHEN HE RET",[[]]
20000912027579I,"(-23)DEPARTED TITUSVILLE, FLORIDA (TIX). AIRCRAFT WAS CRUISING AT 8500 FT. WITH ENGINE MAINTAINING 2400 RPM.  ENGIN",[[]]
20000921008299A,"(-23) THE AIRCRAFT WAS CONDUCTING AERIAL APPLICATION USING A CANAL BANK AS A RUNWAY. WHILE REFUELLING, SOME JET A S",[[]]
20000914038749A,"(.19) ON SEPTEMBER 14, 2000, ABOUT 1915 ALASKA DAYLIGHT TIME, A PIPER PA-31-350 AIRPLANE, N4105D, SUSTAINED SUBSTAN",[[]]
20000909040509A,(-23) ENGINE QUIT DURING TAKEOFF. (.4) DURING THE TAKEOFF CLIMB THE AIRPLANE LOST POWER AND COLLIDED WITH THE TOPS ,[[]]
20000930042859A,(-23) PILOT STATED THAT HE LOST POWER WHILE IN CRUISE NEAR LAKE MICHIGAN AND MICHIGAN CITY AIRPORT. HE APPLIED CARB,[[]]
20001118043779A,"(-23) ON NOVEMBER 18, 2000, AIRCRAFT 8181L ATTEMPTED A NORMAL LANDING ON A GRASS AIRSTRIP LOCATED AT WHITE POST, VA",[[]]
20010314005559A,"(.19)ON MARCH 14, 2001, ABOUT 1120 EASTERN STANDARD TIME, A CESSNA 150, N6584F, WAS SUBSTANTIALLY DAMAGED DURING A ",[[]]
20010115000629I,(-23) A/C RAN OFF RUNWAY WHILE TAXIING BACK TO RAMP AND STRUCK RUNWAY LIGHT WITH PROPELLER.                        ,[[]]
20001206023989I,"(-23)ON DECEMBER 6, 2000, A SIGNATURE FLIGHT SUPPORT BELTLOADER CAUSED MINOR DAMAGE TO THE DOOR SILL PLATE AND LOWE",[[]]
20010220001429I,"(-23) PILOT FOUND A/C HAD DEAD BATTERY WHEN TRYING TO START ENGINE FOR FLIGHT. HE USED JUMPER CABLES TO START A/C, ",[[]]
20001127041639A,(-23) THE UPPER ENGINE COWLING DEPARTED THE AIRPLANE JUST AFTER TAKEOFF FROM RUNWAY 29. THE COWLING SUBSEQUENTLY ST,[[]]
20010302004219I,"(-23) A/C LANDED HARD AND BOUNCED. ON NEXT TOUCHDOWN, GEAR COLLAPSED.                                              ",[[]]
20010209002579I,"(-23) DURING TAXI TO RUNWAY 16 FOR DEPARTURE, ^PRIVACY DA^ ATTEMPTED TO ST OP TO CONDUCT A RUNUP. THE LEFT BRAKE WA",[[]]
20001206021339I,(-23) A/C WAS LANDING ON SEA RUNWAY 34L AND WAS DOWN TO 90 KNOTS ON ROLLOUT. PILOTS HEARD A LOUD THUMP AND DISCOVER,[[]]
20010116000419I,"(-23)PILOT REPORTED THAT WHILE HE WAS ON TAKE OFF ROLL ON RUNWAY 19L AT SNA, JUST AFTER ROTATION THE PILOT DOOR OPE",[[]]
20010302004609A,"(-23) THE PILOT WAS CRUISING AT 3500' MSL WHEN THE A/C LOST POWER. HE DE LARED AN EMERGENCY, TRIED TO RESTART THE E",[[]]
20001205025259A,(-23) THE A/C PERFORMED A NORMAL RUNUP AND TAKEOFF AS REPORTED BY THE PILOT. SHORTLY AFTER TAKEOFF THE PILOT REPORT,[[]]
20010112000199I,"(-23) DURING LANDING ROLL OUT, THE PILOT SWERVED TO AVOID HITTING A SNOWMOBILE THAT WAS ON THE RUNWAY. A/C GROUND L",[[]]
20010507009699I,"(-23)DURING TAKE-OFF CLIMB, ENGINE LOST POWER AND QUIT RUNNING. AIRCRAFT WAS LANDED STRAIGHT AHEAD INTO A MUDDY FAR",[[]]
20010510035129A,"(.4) ON MAY 10, 2001, ABOUT 1730 EASTERN DAYLIGHT TIME, A CHAMPION 7EC, N4737E, WAS SUBSTANTIALLY DAMAGED DURING A ",[[]]
20010523008789I,"(-23)SOMETIME DURING THE NIGHT, AN UNMANNED, UNCONTROLLED US AIRWAYS LAVATORY TRUCK ROLLED ACROSS TAXIWAYS ""G"" AND ","[[('US', '/location/location/contains', 'ACROSS'), ('US', '/location/location/contains', 'ROLLED ACROSS'), ('US', '/location/location/contains', 'ROLLED')]]"
20010515015799I,"(-23) AIRCRAFT DEPARTED FOR MAINTENANCE TEST AFTER ADJUSTMENTS ON LANDING GEAR. ON TAKEOFF ROLL, LANDING GEAR RETRA",[[]]
20010321003219I,(-23)TOWER REPORTED THAT A CONTRAIL OF LIQUID WAS STREAMING OFF THE AIRCRAFT WING AFTER TAKEOFF. PILOT DECLARED EME,[[]]
20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.",[[]]
20010505011289I,"(-23)PILOT DEPARTED MATHER FIELD, CALIFORNIA ENROUTE TO RANCHO MURIETA, CALIFORNIA. SHORTLY AFTER LEVEL OFF, THE EN",[[]]
20010529017659A,"(-23) IN MAY 29, 2001, ABOUT 0718 EASTERN DAYLIGHT TIME, A CONTINENTAL COPTERS TOM CAT MARK 5A (A MODIFIED BEL 47 H",[[]]
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG",[[]]
20010411007659I,(-23)RIGHT TOP ENGINE COWL DEPARTED AIRCRAFT DURING FLIGHT. AIRCRAFT LANDED WITHOUT INCIDENT.  ACTUAL NUMBER OF PAX,[[]]
20010517008369I,"(-23) ^PRIVACY DATA O^ PIC OF N82HR, A PC-12-45 WAS DISTRACTED DURING PREFLIGHT AND LEFT THE TOW BAR ATTACHED TO TH",[[]]
20010428008109A,"(-23)GYROCOPTER LOST POWER ON TAKE-OFF CLIMB, DUE TO HIGH ANGLE OF ATTACK PILOT COULD NOT GET PROPER AUTO-ROTATION ",[[]]
20010518018039A,"(-23) THE PILOT STATED THAT WHEN HE TOOK OFF, THE AIRCRAFT ENGINE QUIT AT ABOUT 100 TO 200 FEET AGL. THE AIRCRAFT H",[[]]
20010407005699A,"(-23) ^PRIVACY DAT^ AND ONE PASSENGER WERE ENROUTE FROM PETERSBURGH, VA. (PTV) TO ORANGEBURGH, SC (OGB) IN N8084K A",[[]]
20010726018379I,"(-23) ON 07/26/01 PILOT ROBERT TAIBEDEAU, CERT #2034160, ATTEMPTED TO DEPART VGT. PRIOR TO THIS INCIDENT THIS PILOT",[[]]
20010805023549A,"(.19) ON AUGUST 5, 2001, ABOUT 2015 HOURS PACIFIC DAYLIGHT TIME, A CESSNA 336, N3838U, EXPERIENCED A LOSS OF POWER ",[[]]
20010611023089I,"(-23)ON JUNE 6, 2001, ABOUT 0800 HRS. EASTERN STANDARD TIME, A CESSNA 150, N2207J, REGISTERED TT FREDERICK PISHOTTA",[[]]
20010806023719I,(-23)ON A SECOND FLIGHT OF THE DAY AFTER REFUELING THE HELICOPTER THE PILOT FAILED TO NOTICE THAT THE WIND GUST HAD,[[]]
20010723017949A,"(-23) PILOT WAS ON A VFR FLIGHT FROM AUBURN/LEWISTON, ME (LEW) TO BUFFALO, NY (BUF). APPROXIMATELY 15 MILES SOUTHWE",[[]]
20010801018589I,(-23)ON TAKEOFF FOR A MIANTENANCE FERRY FLIGHT (SPECIAL FLIGHT PERMIT ISSUED) FROM FULTON COUNTY-BRONW FIELD (FTY) ,[[]]
20010717021699I,(-23) THE AIRMAN ATTEMPTED A TAKEOFF WITH PITOT COVER ATTACHED. TAKEOFF WAS ABORTED WHEN THE PILOT NOTICED THAT THE,[[]]
20010802021609I,"(-23) PILOT STATED THAT JUST BEFORE TAKE OFF AT YUMA INTERNATIONAL AIRPORT, HE ADJUSTED HIS SEAT FORWARD BECAUSE HE",[[]]
20010610033379I,"(-23) SMALL TOW BAR WAS LEFT ATTACHED, AFTER A PRE-FLIGHT INSPECTION WAS COMPLETED IN HANGAR. PILOT WAS NOTIFIED TO",[[]]
20010711020939I,(-23) ON 07/11/01 FEDEX FLIGHT 1611 INBOUND TO IND REPORTED HEARING A LOUD NOISE FROM THE REAR OF THE AIRCRAFT. THE,"[[('IND', '/location/location/contains', 'INBOUND')]]"
20010626037959I,"(-23) ON 06/26/01 ABOUT 1000 EDT, DURING TAKEOFF ROLL, AIRCRAFT LEFT WHEEL HIT A SOFT SAND SPOT AND IT PULLED THE A",[[]]
20011030034599I,(-23) ON 10/30/2001 MR. HATTER PURCHASED 44.3 GALLONS OF FUEL FROM THE FUEL TRUCK AT MOORE COUNTY AIRPORT IN DUMAS ,[[]]
20011003031879A,"(-23) ON OCTOBER 3, 2001, ABOUT 1300L, N388BA, A LET-L33 SOLO GLIDER WAS SPINNING DOWN FROM 4000' WHEN A SMALL BATT",[[]]
20011014030309I,(-23) WHILE TAXIING TO PARKING AFTER LANDING THE AIRCRAFT NOSE WHEEL DEPARTED THE TAXIWAY. THE AIRCRAFT WAS STOPPED,[[]]
20010907028149I,"(-23) THE AIRMAN PERFORMED A NORMAL TAKEOFF FROM THE CAMBRIDGE AIRPORT. IMMEDIATELY AFTER LIFT OFF, THE PILOT HEARD",[[]]
20011019029729I,"(-23) PILOT STATEMENT: ON FRIDAY, OCTOBER 19, 2001, AT 6:45 AM, AT LOVE AIRFIELD IN PRESCOTT, ARIZONA, THE PLANE A ",[[]]
20010922033359I,(-23) SEE ATTACHED INFORMATION REGARDING PHONE INTERVIEW WITH MR. WOOD.                                            ,[[]]
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",[[]]
20011015027579A,(-23) PILOT HAD RECEIVED AN IFR CLEARANCE AND WAS CLEARED FOR TAXI BY TYS GROUND CONTROL. PILOT REALIZED A WHEEL CH,[[]]
20010822023659I,"(-23) ON A FLIGHT FROM GARDEN VALLEY AIRPORT TO BOISE, IDAHO, THE ENGINE QUIT SUDDENLY. THE PILOT MADE AN ENGINE OU",[[]]
20010918026899I,(-23) MAINTENANCE WAS PERFORMED SOMETIME BEFORE THE PROPOSED FLIGHT. THE ANTI-SKID CIRCUIT BREAKER WAS PULLED BY MA,[[]]
20011013029489I,"(-23) ON OCTOBER 13, 2001, A CESSNA CE-172, N2529L, MADE AN EMERGENCY LANDING ON A FROZEN LAKE NEAR THE VILLAGE OF ",[[]]
20010818039089I,"(-23) THIS INCIDENT, ^PRIVACY DATA OMITTED^ IS CLOSED. ^PRIVACY DATA OMITTED^     INSPECTOR STATEMENT: ON AUGUST 18",[[]]
20010904024339I,"(23)PILOT STATED HE USED FUEL IN LEFT FUEL TANK, HE SELECTED RIGHT TANK, WHICH STILL HAD 10-15 GALLONS. AFTER ABOUT",[[]]
20011020029559I,(-23) PILOT ATTEMPTED TO LAND AT KODIAK MUNICIPAL AIRPORT. HE GOT A NOSE GEAR UNSAFE INDICATION. HE NOTIFIED TOWER ,[[]]
20010830026849I,(-23) TAKEOFF WAS ABORTED DUE TO SEVERE VIBRATION AND LOSS OF NOSEWHEEL STEERING. THE NOSE LANDING GEAR TORQUE LINK,[[]]
20010823023939A,"(-23) ON AUGUST 23, 2001, AT APPROXIMATELY 1530 EDT, A CESSNA 182R, N5419E, SUSTAINED SUBSTANTIAL DAMAGE DURING LAN",[[]]
20011111035809I,(-23) AFTER TAKE OFF ACFT HAD POWER FAILURE. PILOT FLEW BY TOWER AND CONFIRMED ALL GEAR DOWN. ACFT LANDED AND NOSE ,[[]]
20011221036699I,(-23)INSPECTION OF THE AIRCRAFT BY THE FBO INDICATES THAT THE PILOT ATTEMPTED THE TAKE-OFF ROLL WITHOUT THE PARKING,[[]]
20020206000979I,(-23) THE PILOT IN COMMAND TAXIED AND TOOK OFF WITH THE ENGINE HEATER EXTENSION CORD PLUGGED INTO THE AIRPLANE. UPO,[[]]
20020305003489I,"(-23) AIRCRAFT DEPARTED FAIRBANKS INTERNATIONAL APPROXIMATELY 10 MINUTES AFTER TAKEOFF AND WHILE IN CLIMB, THE ENGI",[[]]
20020102000049I,"(-23) ON JANUARY 2, 2002, AT APPROXIMATELY 2330 CST, A PIPER PA-28-180 MADE AN EMERGENCY LANDING RESULTING FROM SEP",[[]]
20011213037619I,(-23) ON 12/13/02 AT APPROXIMATELY 21:12 N111AM SUSTAINED HYDRAULIC FAILURE THUS LANDING AT PBI. DURING THE TAXI IN,[[]]
20020425011949I,(-23) PILOT FORGOT TO REMOVE TOW BAR. WHILE TAXIING FOR TAKE-OFF PROP STRUCK TOW BAR.                              ,[[]]
20020323004169A,(-23) INEFFECTIVE ELEVATOR CONTROL BECAME APPARENT DURING TAKE OFF ROLL. (ONGOING INVESTIGATION TO DETERMINE CAUSE ,[[]]
20020403006639I,(-23) PIC REPORTED THE RIGHT SIDE EMERGENCY EXIT WINDOW/DOOR DEPARTED. THE AIRPLANE HAD DEPARTED ON A TEST FLIGHT A,[[]]
20020503029479I,(-23) BIRDS NEST IN ENGINE COWLING THAT WAS INGESTED INTO THE INDUCTION SYSTEM CAUSING A RESTRICTION TO AIRFLOW AND,[[]]
20020529014479I,"(-23) ON MAY 29, 2002, AT 1400 HOURS EDT, A PIPER PA-23-250, N6597Y, REGISTERED TO AIRLINE TRAINING ACADEMY, INC, E","[[('INC', '/location/location/contains', 'INC')]]"
20020527020899I,"(-23) DURING FLIGHT TRANSITIONING FROM CLIMB TO CRUISE, THE ENGINE COWLING SEPARATED FROM THE ENGINE COMPARTMENT AN",[[]]
20020418009469A,"(-23) AN AMATEUR KIT BUILT AIRPLANE, A 4 PLACE KIS/PULSAR SUPER CRUISER, CRASHED 1/4 MILE EAST OF THE NORTH PERRY A",[[]]
20020324004129I,"(-23) THE PILOT DEPARTED MOWATA AIRPORT IN EUNICE, LOUISIANA AND ARRIVED IN MIDLAND, TEXAS (MAF) WITHOUT ANY KNOWN ",[[]]
20020815036819I,"(-23) AIRCRAFT DEPARTED KN68 WITH PILOT AND THREE PARACHUTE JUMPERS ON AUGUST 15, 2002 AT 0945 HRS. AIRCRAFT CLIMBE",[[]]
20020718020329I,"(-23) THE AIRCRAFT DEPARTED FROM BUY FOR A MAINTENANCE TEST FLIGHT. ON DEPARTURE, AT APPROXIMATELY 800 FT. AGL, THE","[[('MAINTENANCE TEST', '/location/location/contains', 'MAINTENANCE')]]"
20020708018869I,"(-23) ACCORDING TO PIC, HE ABORTED THE TAKE OFF AT 30 FT AGL DUE TO NO INDICATED AIRSPEED. DURING RESULTING LANDING",[[]]
20020618012459I,(-23) THIS AIRCRAFT HAD JUST RECEIVED AN ANNUAL INSPECTION. DURING THE PREFLIGHT INSPECTION THE PILOT FAILED TO NOT,[[]]
20020801025679A,"(.19) ON AUGUST 1, 2002, ABOUT 2030 EASTERN DAYLIGHT TIME, A GRUMMAN AMERICAN AA-5B, N81310, WAS DESTROYED WHEN IT ",[[]]
20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q",[[]]
20020710019879A,(-23) THE PILOT STATED THAT DURING TAKE OFF HE REALIZED HE HAD FAILED TO REMOVE THE CONTROL LOCK. HE RAN OFF THE EN,[[]]
20020905024699I,(-23) ^PRIVACY DATA OMITTED^ THE PILOT REFUELED THE AIRCRAFT AT HIS DESTINATION FROM TWO FIVE GALLON CONTAINERS HE ,[[]]
20020916037649A,"(-23) INSPECTOR STATEMENT: ON SEPTEMBER 16, 2002 AT ABOUT 9:30 A.M. LOCAL TIME IN THE VICINITY OF THE CANADAIGUA AI",[[]]
20021008028999I,(-23) AIRCRAFT WINGTIP STRUCK LIGHT POLE WHILE TAXIING IN AN AREA OF CONSTRUCTION. THE POLE LIGHTS WERE UNLIT AS WA,[[]]
20021004034939I,(-23) DURING PREFLIGHT JUST PRIOR TO DEPARTURE PILOT WAS DISTRACTED BY CELL PHONE CALL. PILOT FAILED TO REMOVE AIRC,[[]]
20021027029099I,"(-23) PILOT DID NOT PERFORM A THOROUGH PREFLIGHT INSPECTION, THUS OVERLOOKING A PROPELLER LOCK ATTACHMENT. HE THEN ",[[]]
20021114030969I,"(-23) PILOT REPORTED WHEN RETURNING TO LEVEL FLIGHT FROM INVERTED AEROBATIC MANEUVER, ENGINE ""BURBLED"". PILOT DECLA",[[]]
20020917036549I,(-23) WITNESS REPORTED SEEING CESSNA CE-401 N531MH DEPART EAGLE CREEK AIRPORT WITHOUT ANY LIGHTS AFTER DARK. AIR TR,"[[('DEPART', '/location/location/contains', 'DARK'), ('DEPART', '/location/location/contains', 'WITHOUT ANY LIGHTS AFTER DARK')]]"
20021117036339I,"(-23) ON NOVEMBER 17, 2002, AT 1630 LOCAL TIME A CESSNA 152, N4823L REGISTERED TO AERO WINGS INC. AND OPERATED BY J",[[]]
20021024033449I,(-23) CREW FAILED TO SWITCH ON THE WING AND ENGINE ANTI-ICE WHEN GROUND ICING CONDITIONS EXISTED. CORRECTED ON THE ,[[]]
20021002026869A,"(.19) ON OCTOBER 2, 2002, ABOUT 1540 EASTERN DAYLIGHT TIME, A BEAGLE AIRCRAFT B.206 BASSET, N72KB, WAS DESTROYED AF",[[]]
20021201038509A,(-23) PILOT REPORTED AIRCRAFT WOULD NOT ROTATE ON TAKE-OFF ROLL. ABORTED TAKEOFF AND AIRCRAFT SKIDDED OFF THE END O,[[]]
20030225003209A,(-23) WITNESSES AT THE DEPARTURE AIRPORT STATED THAT PILOT HAD SIGNIFICANT DIFFICULTY STARTING THE AIRCRAFT IMMEDIA,[[]]
20030317008009A,(-23) MS BOMBERGER LANDED AT CTJ AFTER A SECOND NO FLAP APPROACH AND RAN OFF THE END OF THE RUNWAY CAUSING THE NOSE,[[]]
20030109002509A,"(.19) ON JANUARY 9, 2003, APPROXIMATELY 1500 CENTRAL STANDARD TIME, AN AEROSPATIALE AS-350-BA SINGLE-ENGINE HELICOP",[[]]
20030306008999I,"(-23) DURING THE TAKEOFF ROLL THE PILOT IN COMMAND NOTICED A ""VIBRATION"". THE VIBRATION CONTINUED AND AS THE AIRCRA",[[]]
20030201001619I,(-23) AIRCRAFT HAD BEEN GROUNDED BECAUSE THE BRAKES WERE INOPERATIVE. CFK AND STUDENT PILOT FAILED TO CHECK THE DIS,[[]]
20030102006879I,(-23) WHILE BEGINNING A TAKEOFF ROLL ON RUNWAY 4 THE CREW OF N961LL ABORTED THE TAKEOFF AFTER REACHING AN AIRSPEED ,[[]]
20021219034299I,"(-23) ON DECEMBER 19, 2002, ABOUT 1530 MOUNTAIN STANDARD TIME, A BEECHCRAFT A36, N323D, LANDED THE AIRCRAFT WITHOUT",[[]]
20021219033249I,"(-23) ON DECEMBER 19, 2002, AT APPROXIMATELY 1:03 AM, A FALCON DA-20 LANDED AT STANIFORD INTERNATIONAL AIRPORT WITH",[[]]
20030306005039A,"(-23) BAGS FROM AFT BAGGAGE STRUCK THE TAIL ROTOR IN FLIGHT, SUBSEQUENTLY THE TAIL ROTOR FAILED THE PILOT LANDED IN",[[]]
20030223010089I,"(-23) CREW WAITED FOR AIRCRAFT TO BE TAXIED TO GATE FROM HANGAR, ASSUMING THAT IT HAD BEEN INSIDE AND DEICED. ON TH",[[]]
20030208002149I,"(-23) ON 02/08/2003 AT APPROXIMATELY 22:30, A LEAR JET OPERATED BY FS AIR, ON A MEDEVAC OPERATION, SLID OFF THE END",[[]]
20030130003529A,"(-23) ON JANUARY 30, 2003, ABOUT 0330 ALASKA STANDARD TIME, A CESSNA 208B AIRPLANE, N1276P, SUSTAINED SUBSTANTIAL D",[[]]
20030322004009A,"(-23) NO NTSB ACCIDENT NO, AS THIS IS AN ULTRA-LIGHT AIRCRAFT, AND THEY ELECTED NOT TO DO AN ACCIDENT REPORT. ^PRIV",[[]]
20030611018109A,"(-23) ON JUNE 11, 2003 AT APPROXIMATELY 1242 EDT, A STEVEN D. AYERS EXPERIMENTAL RV-6A AIRCRAFT CRASHED DURING TAKE",[[]]
20030404010269A,(-23) A HOSE USED TO FILL THE CHEMICAL TANK FOR AERIAL APPLICATION WAS NOT REMOVED BEFORE THE PILOT ATTEMPTED TO TA,[[]]
20030424004209A,(-23) DURING TAXI FROM HANGER TO FUEL PUMPS AIRCRAFT WAS ON TAXIWAY WHEN A TELEPHONE MAN HOLE COVER BROKE AS AIRCRA,[[]]
20030615012189A,"(-23) ON JUNE 15, 2003 AT APPROXIMATELY 1730 CENTRAL DAYLIGHT TIME, N20553 EXPERIENCED A LOSS OF POWER DURING TAKE ",[[]]
20030620012809I,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE ,[[]]
20030530013819A,(-23) AIRCRAFT EXPERIENCED LOSS OF ENGINE POWER WHILE IN FLIGHT. PARTIAL POWER WAS RESTORED AND PILOT ATTEMPTED TO ,[[]]
20030429010109I,(-23) A MEAL CART RELEASED ON LANDING AND TRAVELED NEARLY TO DOOR #2. THE CART HIT SEVERAL PASSENGERS AS IT TRAVERS,[[]]
20030617034909I,(-23) ^PRIVACY DATA OMITTED^ ON 6/17/2003 N7401P HAD A RIGHT MAIN GEAR FAILURE WHILE LANDING AT FOX FIELD LANCASTER,[[]]
20030417006539I,"(-23) ON APRIL 17, 2003, AT 19:09 CENTRAL STANDARD TIME, AN EXPERIMENTAL AMATEUR BUILT MODEL BUCKER BU133R, N103S, ",[[]]
20030531037899A,"(-23) ON MAY 31, 2003, APPROXIMATELY 1030 CENTRAL DAYLIGHT TIME, AN AEROTEK PITTS S-2A SINGLE-ENGINE AEROBATIC BI-P",[[]]
20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL",[[]]
20030415011469I,"(-23) AFTER GEAR MAINTENANCE AT SWEET WATER, THE EMERGENCY GEAR HANDLE NOT STOWED. PASSENGER SEAT BELT INTERFERED W",[[]]
20030605015579I,(-23) MR. CAMPBELL FLEW HIS AIRCRAFT AFTER THE VACUUM PUMP WAS REMOVED FOR REPLACEMENT. THE MECHANIC (IA) WHO REMOV,[[]]
20030604011419A,(-23) ROTORCRAFT ATTEMPTED TO LIFT OFF OF TRAILER WHILE THE RIGHT REAR SKID WAS SECURED WITH THE TIEDOWN STRAP. ROT,[[]]
20030328006589I,"(-23) CRUISE FLIGHT 4500 WESTBOUND 4 SOUTH OF INCIDENT SITE ENGINE QUIT. ESTABLISHED MAX GLIDE, FUEL SELECTOR LH, A",[[]]
20030603012019I,"(-23) DATE: JUNE 3, 2003 LOGAN INTERNATIONAL AIRPORT BOSTON MA (BOS) 12:35 EDT ASI: DONALD E. SMALL N452FJ DORNIER ",[[]]
20030531012049I,"(-23) WHILE ENROUTE FROM DENVER CENTENNIAL (APA) TO PUEBLO CO (PUB), APPROXIMATELY 7 MILES SOUTH OF APA, PILOT CONT",[[]]
20030605015429A,"(-23) ENROUTE TO MUSCLE SHOALS ALA. (MSL) FROM REFORM ALA. (3M8) AT 3000 FEET, MR. RICHARDSON EXPERIENCED LOSS OF R",[[]]
20030515010309A,"(-23) THE PILOT WROTE, ""WHILE LEVELING OFF AT 700 FT AGL I FELT A VIBRATION IN THE ROTOR SYSTEM. AFTER CONFIRMING A",[[]]
20030725018199A,(-23) CANOPY WAS NOT SECURED PROPERLY PRIOR TO TAKE-OFF AND OPENED IN FLIGHT JUST AFTER ROTATION. PILOT LOST CONTRO,[[]]
20030710018909A,(-23) THE PILOT FORGOT OR OVERLOOKED REMOVING THE RIGHT AILERON TO FLAP GUST LOCK DURING THE PREFLIGHT. AT ROTATION,[[]]
20030720015809A,"(-23) ON TAKEOFF, AIRCRAFT PITCHED UP TO AN EXCESSIVE NOSE HIGH ATTITUDE, THEN HIT THE GROUND HARD, SKIDDED TO A ST",[[]]
