,index,c5_id,input,head,relation,tail
3489,1974,19960816023039A,LOST POWER ON CLIMBOUT. NOSED OVER LANDING. FEW OUNCES FUEL AND WATER IN SYSTEM. NOT FLOWN OR FUELED FOR 6MO.      ,LOST POWER,has cause,CLIMBOUT
3490,1974,19960816023039A,LOST POWER ON CLIMBOUT. NOSED OVER LANDING. FEW OUNCES FUEL AND WATER IN SYSTEM. NOT FLOWN OR FUELED FOR 6MO.      ,CLIMBOUT,has effect,LOST Power
3491,1975,19960817029279I,"NARRATIVE: MOONEY N253TM, A MOONEY 020M, DEPARTED BOZEMAN, MONTANA, GALLATIN FIELD, AND RETURNED FOR LANDING IMMEDI",BOZEMAN,located in the administrative territorial entity,MONTANA
3492,1976,19960824025849A,"FLYING LOW TRIED TOO LATE TO BURN AND CLIMB OVER POWERLINES, SAW ERROR. PULLED VENT. HIT WIRES. LEAKY BAG. (-23) MR",2008 Summer Olympics,point in time,2008
3493,1976,19960824025849A,"FLYING LOW TRIED TOO LATE TO BURN AND CLIMB OVER POWERLINES, SAW ERROR. PULLED VENT. HIT WIRES. LEAKY BAG. (-23) MR",2008 Summer Olympics,location,Beijing
3494,1976,19960824025849A,"FLYING LOW TRIED TOO LATE TO BURN AND CLIMB OVER POWERLINES, SAW ERROR. PULLED VENT. HIT WIRES. LEAKY BAG. (-23) MR",2008 Summer Olympics,country,China
3495,1976,19960824025849A,"FLYING LOW TRIED TOO LATE TO BURN AND CLIMB OVER POWERLINES, SAW ERROR. PULLED VENT. HIT WIRES. LEAKY BAG. (-23) MR",Beijing,country,China
3496,1976,19960824025849A,"FLYING LOW TRIED TOO LATE TO BURN AND CLIMB OVER POWERLINES, SAW ERROR. PULLED VENT. HIT WIRES. LEAKY BAG. (-23) MR",China,capital,Beijing
3497,1977,19960825024019A,"LOST OIL PRESSURE EN ROUTE. LANDED RAILROAD BED. EXITED BED DOWN EMBANKMENT. FAILED TO ADD OIL ON FUEL STOP,LOW OIL",LANDED RAILROAD BED,replaced by,EMBANKMENT
3498,1977,19960825024019A,"LOST OIL PRESSURE EN ROUTE. LANDED RAILROAD BED. EXITED BED DOWN EMBANKMENT. FAILED TO ADD OIL ON FUEL STOP,LOW OIL",EMBANKMENT,replaces,LANDED RAILROAD BED
3499,1978,19960901044889I,"NARRATIVE: APPROXIMATELY 15 MINUTES INTO THE FLIGHT, THE PILOT NOTICED A LARGE LOSS OF FUEL AS INDICATED. THE PILOT",FLIGHT,has part,PILOT
3500,1978,19960901044889I,"NARRATIVE: APPROXIMATELY 15 MINUTES INTO THE FLIGHT, THE PILOT NOTICED A LARGE LOSS OF FUEL AS INDICATED. THE PILOT",PILOT,part of,FLIGHT
3501,1978,19960901044889I,"NARRATIVE: APPROXIMATELY 15 MINUTES INTO THE FLIGHT, THE PILOT NOTICED A LARGE LOSS OF FUEL AS INDICATED. THE PILOT",PILOT,part of,FLIGHT
3502,1978,19960901044889I,"NARRATIVE: APPROXIMATELY 15 MINUTES INTO THE FLIGHT, THE PILOT NOTICED A LARGE LOSS OF FUEL AS INDICATED. THE PILOT",FLIGHT,has part,PILOT
3503,1978,19960901044889I,"NARRATIVE: APPROXIMATELY 15 MINUTES INTO THE FLIGHT, THE PILOT NOTICED A LARGE LOSS OF FUEL AS INDICATED. THE PILOT",FLIGHT,has part,PILOT
3504,1978,19960901044889I,"NARRATIVE: APPROXIMATELY 15 MINUTES INTO THE FLIGHT, THE PILOT NOTICED A LARGE LOSS OF FUEL AS INDICATED. THE PILOT",PILOT,part of,FLIGHT
3505,1978,19960901044889I,"NARRATIVE: APPROXIMATELY 15 MINUTES INTO THE FLIGHT, THE PILOT NOTICED A LARGE LOSS OF FUEL AS INDICATED. THE PILOT",PILOT,part of,FLIGHT
3506,1978,19960901044889I,"NARRATIVE: APPROXIMATELY 15 MINUTES INTO THE FLIGHT, THE PILOT NOTICED A LARGE LOSS OF FUEL AS INDICATED. THE PILOT",FLIGHT,has part,PILOT
3507,1978,19960901044889I,"NARRATIVE: APPROXIMATELY 15 MINUTES INTO THE FLIGHT, THE PILOT NOTICED A LARGE LOSS OF FUEL AS INDICATED. THE PILOT",FLIGHT,has part,PILOT
3508,1979,19960624015039A,ON APPROACH ROLLED INTO DIVE AND IMPACTED. PILOT OBSERVED STRUGGLING. CUT WING SPAR FOR BOGUS ENGINE. WINGS FAILED.,BOGUS,subclass of,ENGINE
3509,1980,19960929039119I,"NARRATIVE: HISTORY OF FLIGHT; ON 09/29/96, AT 1834 CDT, A CESSNA 421C, N76737, REGISTERED TO JUNIOR FOOD STORES, ME",JUNIOR FOOD STORES,located in the administrative territorial entity,ME
3510,1981,19960925029989A,LOST FUEL PRESSURE EN ROUTE SPRAY AREA. ENGINE QUIT. DUMPED LOAD. FIRE IN ENGINE.FUEL HOSE THROTTLE TO VALVE FAILED,FUEL HOSE THROTTLE TO VALVE,part of,ENGINE
3511,1982,19961012032179A,"COLLIDED WITH GROUND DURING AG OPS. FUEL PUMP INOP. FUEL STARVATION. TAIL ROTOR HIT, THEN NOSE HIT A STUMP. (-23) A",TAIL ROTOR HIT,followed by,STUMP
3512,1982,19961012032179A,"COLLIDED WITH GROUND DURING AG OPS. FUEL PUMP INOP. FUEL STARVATION. TAIL ROTOR HIT, THEN NOSE HIT A STUMP. (-23) A",STUMP,follows,TAIL ROTOR HIT
3513,1983,19960711025049I,NARRATIVE: PRIOR TO TAKE-OFF THE PILOT INDICATED HE COMPLETED A CONTROL CHECK AND EVERYTHING WAS SATISFACTORY. HOWE,SATISFACTORY,subclass of,CONTROL CHECK
3514,1984,19961014031959A,"HELICOPTER HOVERING WHEN PILOT HEARD LOUD POP, EXECUTED AUTOROTATION, MAIN ROTOR FLEXED, CUT OFF TAIL BOOM. (.4)DUR",ROTOR,has part,MAIN ROTOR FLEXED
3515,1984,19961014031959A,"HELICOPTER HOVERING WHEN PILOT HEARD LOUD POP, EXECUTED AUTOROTATION, MAIN ROTOR FLEXED, CUT OFF TAIL BOOM. (.4)DUR",MAIN ROTOR FLEXED,part of,ROTOR
3516,1985,19961015037589I,NARRATIVE: AT APPROX. 1700 CST MR. FRYE TAXIED HIS CHALLENGER II FOR AN INTERSECTION TAKEOFF ON A PRIVATE GRASS STR,1700 CST,point in time,1700
3517,1986,19961018033089A,"CRASHED ON TAKEOFF. (.4)THE PILOT STATED THAT HE WAS IN A HURRY, AND WAS TRYING TO COMPLETE HIS TAKEOFF BEFORE THE ",TAKEOFF,located in the administrative territorial entity,TAKEOFF
3518,1986,19961018033089A,"CRASHED ON TAKEOFF. (.4)THE PILOT STATED THAT HE WAS IN A HURRY, AND WAS TRYING TO COMPLETE HIS TAKEOFF BEFORE THE ",TAKEOFF,located in the administrative territorial entity,TAKEOFF
3519,1987,19961104034789A,"VFR PILOT FLYING INTO IFR CONDITIONS, UNABLE TO LAND DUE TO WEATHER, VECTORED TO TEA AIRPORT, CRASHED. (.4)THE NONI",TEA AIRPORT,instance of,VFR
3520,1988,19961025033909A,FAILED REMOVE DOLLY PRIOR TAKEOFF. HANDLE CAUGHT ON GROUND. HELICOPTER ROLLED OVER.                                ,DOLLY,subclass of,HELICOPTER
3521,1989,19960725019819A,ON TAKEOFF CARDBOARD FOLDER BLEW OUT AND STRUCK WOOD PROP. VIBRATED DUE BROKEN PROP. OVERRAN ROAD INTO TREES DITCH.,TAKEOFF,shares border with,TREES DITCH
3522,1989,19960725019819A,ON TAKEOFF CARDBOARD FOLDER BLEW OUT AND STRUCK WOOD PROP. VIBRATED DUE BROKEN PROP. OVERRAN ROAD INTO TREES DITCH.,TREES DITCH,shares border with,TAKEOFF
3523,1990,19961101034759A,HELICOPTER LIFTED OFF HELIPAD WITH AN EXTERNAL LOAD WHEN CABLE BECAME ENTANGLED IN LANDING SKID. ROLLED OVER.      ,HELICOPTER,different from,HELIPAD
3524,1990,19961101034759A,HELICOPTER LIFTED OFF HELIPAD WITH AN EXTERNAL LOAD WHEN CABLE BECAME ENTANGLED IN LANDING SKID. ROLLED OVER.      ,HELIPAD,different from,HELICOPTER
3525,1991,19961117035929A,LOST POWER AT CRUISE. CRASH LANDED ON HIGHWAY IN A DITCH. FUEL SIPHONING EXHAUSTION. FUEL CAPS NOT SECURED. (-23) A,FUEL CAPS NOT SECURED,has effect,FUEL SIPHONING EXHAUSTION
3526,1991,19961117035929A,LOST POWER AT CRUISE. CRASH LANDED ON HIGHWAY IN A DITCH. FUEL SIPHONING EXHAUSTION. FUEL CAPS NOT SECURED. (-23) A,FUEL SIPHONING EXHAUSTION,has cause,FUEL CAPS NOT SECURED
3527,1992,19961118041829I,MAINTENANCE CHECK FLIGHT. ALTIMETER FROZE AT FL120. THEN OPERATED ON DESENT. STATIC LINES OFF. FAILED PRIOR CHECK. ,MAINTENANCE CHECK FLIGHT,part of,FL120
3528,1992,19961118041829I,MAINTENANCE CHECK FLIGHT. ALTIMETER FROZE AT FL120. THEN OPERATED ON DESENT. STATIC LINES OFF. FAILED PRIOR CHECK. ,FL120,has part,MAINTENANCE CHECK FLIGHT
3529,1993,19961120040099I,"NARRATIVE: DURING A CROSS COUNTRY FLIGHT FROM SIOUX FALLS, SD TO OMAHA, NE THE TOP ENTRANCE DOOR HALF CAME OPEN AT ",SIOUX FALLS,located in the administrative territorial entity,SD
3530,1994,19961123036339A,(.4)THE PILOT/OWNER OF THE AIRCRAFT COMPLETED THE PREFLIGHT AND STARTED THE ENGINE BY HAND PROPPING.  WHEN HE CLIMB,PILOT <subj>OWNER,different from <triplet>OWNER,
3531,1994,19961123036339A,(.4)THE PILOT/OWNER OF THE AIRCRAFT COMPLETED THE PREFLIGHT AND STARTED THE ENGINE BY HAND PROPPING.  WHEN HE CLIMB,PILOT <subj>OWNER,different from,PILOT
3532,1995,19960809022189A,LOST RIGHT BRAKE. UNABLE USE LEFT BRAKE. EXITED. TAXIWAY DOWN HILL INTO TREES. NO FLUID MASTER CYL. BEEN LEAKING.  ,LOST RIGHT BRAKE,opposite of,LEFT BRAKE
3533,1995,19960809022189A,LOST RIGHT BRAKE. UNABLE USE LEFT BRAKE. EXITED. TAXIWAY DOWN HILL INTO TREES. NO FLUID MASTER CYL. BEEN LEAKING.  ,LEFT BRAKE,opposite of,LOST RIGHT BRAKE
3534,1996,19961217044949I,NARRATIVE: START VALVE STAYED OPEN AFTER #2 ENGINE WAS STARTED. MAINTENANCE CLOSED THE VALVE MANUALLY AS PER MEL 80,MAINTENANCE,product or material produced,ENGINE
3535,1997,19961231040889A,LOST POWER ON CLIMBOUT. TRIED RETURN. HIT FENCE SHORT RUNWAY. WAATER IN FUEL LEAKY FUEL CAP. RECENT ANNUAL AND RAIN,FUEL CAP,product or material produced,FUEL
3536,1998,19970102000129A,SEARCH AND RESCUE FLIGHT. PASSENGER ACCIDENTLY BROKE FUEL HANDLE. INADVERTENTLY PUT SELECTOR TO OFF. QUIT ON TAKEOF,INADVERTENTLY PUT SELECTOR TO OFF,has effect,PASSENGER ACCIDENTLY BROKE FUEL HANDLE
3537,1999,19960820028789I,"NARRATIVE: AIRCRAFT N1JX, A NORTH AMERICAN SABRELINER, MADE A NORMAL APPROACH AND LANDING AT THE MONROE AIRPORT, NO",MONROE AIRPORT,country,NORTH AMERICAN
3538,2000,19961222039699A,FAILED TO STOW SPOILERS FOR GLIDER TOW. THEY DEPLOYED. GLIDER PILOT CUT LOSE FROM TOW BUT HIT TREES SHORT RUNWAY.  ,GLIDER TOW,has part,GLIDER PILOT
3539,2000,19961222039699A,FAILED TO STOW SPOILERS FOR GLIDER TOW. THEY DEPLOYED. GLIDER PILOT CUT LOSE FROM TOW BUT HIT TREES SHORT RUNWAY.  ,GLIDER PILOT,part of,GLIDER TOW
3540,2001,19961228045179A,MOTORIZED GLIDER. SHUT OFF ENGINE. THERMALED. TIME RETURN NO START. LANDED IN A SWAMP. MISHANDLED STARTUP ITEMS.   ,THERMALED,opposite of,STARTUP
3541,2001,19961228045179A,MOTORIZED GLIDER. SHUT OFF ENGINE. THERMALED. TIME RETURN NO START. LANDED IN A SWAMP. MISHANDLED STARTUP ITEMS.   ,STARTUP,opposite of,THERMALED
3542,2002,19970116005549I,"NARRATIVE: ON JANUARY 16, 1997, A BEECH 99, OWNED AND OPERATED BY ALPINE AIR OF PROVO, UTAH, HAD DEPARTED BILLINGS,",ALPINE AIR,headquarters location,"PROVO, UTAH"
3543,2003,19970116011999A,LOST POWER ON FINAL. LANDED SHORT IN TREES. WATER IN FUEL. LEAKY FUEL CAP. HAD BEEN LEFT OUT IN RAIN. (-23) STUDENT,LANDED SHORT IN TREES,facet of,RAIN
3544,2004,19970103001249I,"NARRATIVE: MR. DON GENTRY IS THE BUILDER, OWNER AND PILOT OF N19DG, WHICH WAS INVOLVED IN AN INCIDENT. THE AIRCRAFT",N19DG,designed by,DON GENTRY
3545,2005,19970110025289I,NOSED OVER ON TAKEOFF ROLL WHEN ROTATION ATTEMPTED ON TEST FLIGHT. ELEVATOR CABLES HOOKED UP BACKWARDS.            ,TAKEOFF,subclass of,ELEVATOR
3546,2006,19970111006749I,"NARRATIVE: PILOT STATED TO TWO INTERVIEWING INSPECTORS, HE AND PASSENGERS WERE IN LEVEL FLIGHT AT APPROXIMATELY 250",PILOT,has part,INSPECTORS
3547,2006,19970111006749I,"NARRATIVE: PILOT STATED TO TWO INTERVIEWING INSPECTORS, HE AND PASSENGERS WERE IN LEVEL FLIGHT AT APPROXIMATELY 250",PILOT,has part,PASSENGERS
3548,2006,19970111006749I,"NARRATIVE: PILOT STATED TO TWO INTERVIEWING INSPECTORS, HE AND PASSENGERS WERE IN LEVEL FLIGHT AT APPROXIMATELY 250",INSPECTORS,part of,PILOT
3549,2006,19970111006749I,"NARRATIVE: PILOT STATED TO TWO INTERVIEWING INSPECTORS, HE AND PASSENGERS WERE IN LEVEL FLIGHT AT APPROXIMATELY 250",PASSENGERS,part of,PILOT
3550,2007,19960906030579I,"NARRATIVE: ON SEPTEMBER 6, 1996, A BEECHCRAFT, BE33A, N7368R PILOTED BY MR. JOHN MONYPENY WAS ENROUTE FROM CATALINA",BEECHCRAFT,has part,BE33A
3551,2007,19960906030579I,"NARRATIVE: ON SEPTEMBER 6, 1996, A BEECHCRAFT, BE33A, N7368R PILOTED BY MR. JOHN MONYPENY WAS ENROUTE FROM CATALINA",BEECHCRAFT,has part,N7368R
3552,2007,19960906030579I,"NARRATIVE: ON SEPTEMBER 6, 1996, A BEECHCRAFT, BE33A, N7368R PILOTED BY MR. JOHN MONYPENY WAS ENROUTE FROM CATALINA",BE33A,part of,BEECHCRAFT
3553,2007,19960906030579I,"NARRATIVE: ON SEPTEMBER 6, 1996, A BEECHCRAFT, BE33A, N7368R PILOTED BY MR. JOHN MONYPENY WAS ENROUTE FROM CATALINA",N7368R,part of,BEECHCRAFT
3554,2008,19970213004729I,AFT CARGO LIGHTO ON CLIMBOUT. LOST PRESSURIZATION. NR3 ENGINE FAILED. RETURNED. CARGO DOOR OPEN. DOOR HIT ENGINE.  ,NR3,subclass of,ENGINE
3555,2009,19960909026429A,YAW STRING CAUGHT IN CANOPY ON TOW. RELEASED. TURNED BACK. HEAVY SINK ON FINAL. STRUCK TREES.                      ,YAW STRING,part of,CANOPY ON TOW
3556,2009,19960909026429A,YAW STRING CAUGHT IN CANOPY ON TOW. RELEASED. TURNED BACK. HEAVY SINK ON FINAL. STRUCK TREES.                      ,CANOPY ON TOW,has part,YAW STRING
3557,2010,19960912034459A,(.4)THE PILOT REPORTED THAT HE HAD A TRIP IN THE MORNING. HE REPORTED THAT HE WAS RUNNING LATE AND WAS IN A HURRY. ,John F. Kennedy School of Government,part of,Harvard University
3558,2010,19960912034459A,(.4)THE PILOT REPORTED THAT HE HAD A TRIP IN THE MORNING. HE REPORTED THAT HE WAS RUNNING LATE AND WAS IN A HURRY. ,John F. Kennedy School of Government,part of,Harvard University
3559,2010,19960912034459A,(.4)THE PILOT REPORTED THAT HE HAD A TRIP IN THE MORNING. HE REPORTED THAT HE WAS RUNNING LATE AND WAS IN A HURRY. ,Harvard University,subsidiary,John F. Kennedy School of Government
3560,2010,19960912034459A,(.4)THE PILOT REPORTED THAT HE HAD A TRIP IN THE MORNING. HE REPORTED THAT HE WAS RUNNING LATE AND WAS IN A HURRY. ,Harvard University,subsidiary,John F. Kennedy School of Government
3561,2011,19970309007699I,"NARRATIVE: 3-9-97 1300LCL. DURING CLIMB AFTER TAKE OFF FROM HECTOR MUNICIPAL AIRPORT, HECTOR, MN. BOTH ENGINES LOST",HECTOR MUNICIPAL AIRPORT,place served by transport hub,"HECTOR, MN"
3562,2012,19970207001579A,"AIRCRAFT CRASHED ON TAKEOFF AND WAS MISSING, SUBJECT OF AN ALNOT. WRECKAGE WAS LOCATED. (.19) ON FEBRUARY 7, 1997, ",TAKEOFF,point in time,"FEBRUARY 7, 1997"
3563,2013,19970313010659I,"NARRATIVE: ON MARCH 13, 1997, N956S, A CESSNA MODEL 500, WHILE ON A FUNCTIONAL TEST FLIGHT LANDED WITH THE NOSE GEA",N956S,instance of,CESSNA MODEL 500
3564,2014,19970404009179I,"NARRATIVE: DURING AIRCRAFT ARRIVAL OPERATIONS AT SUN 'N FUN FLY-IN, THE AIRPLANE WAS DIRECTED BY A GROUND MARSHAL T",MARSHAL,subclass of,AIRCRAFT
3565,2015,19970411016459I,"NARRATIVE: ON APRIL 11, 1997, AT APPROXIMATELY 1755 MST, AMERISTAR FLIGHT 918, A FALCON DA-20, DEPARTED EL PASO INT",AMERISTAR FLIGHT 918,point in time,"APRIL 11, 1997"
3566,2016,19961022033269A,ENGINE SIEZED ON CLIMBOUT. LANDED ON SUPER MARKET ROOF. CHANGED OIL PRIOR FLIGHT. FAILED SECURE TEMPERATURE PROBE. ,LANDED ON SUPER MARKET ROOF,instance of,CLIMBOUT
3567,2017,19970405041279A,LOST POWER CLIMBOUT TO CRUISE. FAILED VISUALY CHECK FUEL. SUSPECT OUT OF FUEL. LANDED ON ROAD. RAN OFF INTO DITCH. ,LANDED ON ROAD,facet of,CRUISE
3568,2018,19970407005459A,THE PILOT EXITED THE AIRCRAFT IN ORDER TO ESCORT A DEPLANING PASSENGER. THE STUDENT PILOT RATED PASSENGER WAS LEFT ,DEPLANING,practiced by,PASSENGER
3569,2018,19970407005459A,THE PILOT EXITED THE AIRCRAFT IN ORDER TO ESCORT A DEPLANING PASSENGER. THE STUDENT PILOT RATED PASSENGER WAS LEFT ,PASSENGER,field of this occupation,DEPLANING
3570,2019,19970407010199A,HOT SMELL ON TEST FLIGHT. ENIGNE QUIT TURNING BASE. LANDED SHORT. BURNED. EXHAUST WELD BROKE. ILLEGAL MODIFICATION.,ENIGNE,instance of,TURNING BASE
3571,2020,19961030044759I,"NARRATIVE: PRIVATE PILOT, IN A SINGLE ENGINE CESSNA, ON A VFR FLIGHT WITH ONE PASSENGER, MADE AN EMERGENCY LANDING ",PILOT,uses,ENGINE
3572,2020,19961030044759I,"NARRATIVE: PRIVATE PILOT, IN A SINGLE ENGINE CESSNA, ON A VFR FLIGHT WITH ONE PASSENGER, MADE AN EMERGENCY LANDING ",ENGINE,used by,PILOT
3573,2021,19970501015019I,"NARRATIVE: AIRCRAFT DEPARTED BIRCHWOOD, AK AIRPORT ON A SHORT PLEASURE FLIGHT. THE LEFT MAIN GEAR FAILED TO EXTEND ",BIRCHWOOD,located in the administrative territorial entity,AK
3574,2022,19970408005359A,LOST POWER AFTER LIFTOFF. HAD COMPRESSOR STALL. HIT GROUND. CARTWHEELED. MASKING FLIM BLOCKED AIR INTAKE. (-23) ON ,LIFTOFF,opposite of,AIR INTAKE
3575,2022,19970408005359A,LOST POWER AFTER LIFTOFF. HAD COMPRESSOR STALL. HIT GROUND. CARTWHEELED. MASKING FLIM BLOCKED AIR INTAKE. (-23) ON ,AIR INTAKE,opposite of,LIFTOFF
3576,2023,19970506016499I,"NARRATIVE: THE LEAR 35, OPERATING UNDER FAR 135, DEPARTED SPIRIT OF ST. LOUIS AIRPORT ON AN IFR FLIGHT PLAN, PROPOS",IFR,said to be the same as,FAR 135
3577,2024,19970516010919A,LOST POWER ON CLIMBOUT. SETTLED INTO TREES. CARB CHOKE ON. OVERLOOKED IN PREFLIGHT. (-23) THE PIC REPORTED A LOSS O,LOST POWER ON CLIMBOUT,has cause,PREFLIGHT
3578,2024,19970516010919A,LOST POWER ON CLIMBOUT. SETTLED INTO TREES. CARB CHOKE ON. OVERLOOKED IN PREFLIGHT. (-23) THE PIC REPORTED A LOSS O,PREFLIGHT,has effect,LOST POWER ON CLIMBOUT
3579,2025,19970427014569I,"NARRATIVE: ON 04/27/97 AT 6:25 A CESSNA CARAVAN, N303GV, DEPARTED KOTZEBUE, ALASKA WITH THE TAIL STAND ATTACHED.   ",KOTZEBUE,located in the administrative territorial entity,ALASKA
3580,2026,19970430011489I,"NARRATIVE: ON APRIL 30, 1997, N83GA, BEECHCRAFT MODEL 200 MADE A LANDING EMERGENCY AFTER THE RIGHT ENGINE FIRE WARN",N83GA,manufacturer,BEECHCRAFT
3581,2027,19961207041139I,"NARRATIVE: ON DECEMBER 7, 1996, AT APPROXIMATELY 1300 P.M. N5459R, A CESSNA 172F DEPARTED FAIRBANKS INTERNATIONAL A",CESSNA,replaced by,FAIRBANKS INTERNATIONAL A
3582,2027,19961207041139I,"NARRATIVE: ON DECEMBER 7, 1996, AT APPROXIMATELY 1300 P.M. N5459R, A CESSNA 172F DEPARTED FAIRBANKS INTERNATIONAL A",FAIRBANKS INTERNATIONAL A,replaces,CESSNA
3583,2028,19970520015649I,NARRATIVE: THE FLIGHT WAS CONDUCTED UNDER A PART 141 CURRICULUM FOR A COMMERCIAL RATING. IT WAS THE PILOT'S FIRST S,PART 141,instance of,CURRICULUM
3584,2029,19970523011899A,DEPARTED IFR. REQUESTED RETURN. BROKE OUT ANGLE TO RUNWAY. DRAGGED WING LANDING. PITOT COVER STILL ON.M (-23) PILOT,DRAGGED WING LANDING,subclass of,ANGLE TO RUNWAY
3585,2030,19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,TAKEOFF,location,STEVEN'S VILLAGE
3586,2031,19961223044599I,"NARRATIVE: ON DECEMBER 23, 1996, CONTINENTAL EXPRESS FLIGHT 3021 HAD AN IN-FLIGHT OPENING OF THE MAIN CABIN DOOR. N",CONTINENTAL EXPRESS FLIGHT 3021,point in time,"DECEMBER 23, 1996"
3587,2032,19970702016689A,DOOR CAME OPEN INFLIGHT. THROTTLED BACK INTO FEATHER BY MISTAKE. LANDED GEAR UP IN FIELD. COULD FLY WITH DOOR OPEN.,LANDED GEAR UP IN FIELD,subclass of,INFLIGHT
3588,2033,19970614018429A,POWERED GLIDER UNALBE RESTART AFTER THERMALING. TOO LOW RETRACT. ENGINE NO FLAPS LANDED FAST AND HARD. GROUND LOOPE,GROUND LOOPE,different from,RETRACT
3589,2033,19970614018429A,POWERED GLIDER UNALBE RESTART AFTER THERMALING. TOO LOW RETRACT. ENGINE NO FLAPS LANDED FAST AND HARD. GROUND LOOPE,RETRACT,different from,GROUND LOOPE
3590,2034,19970112000859A,CARB ICING AT CRUISE. APPLIED PARTIAL CARB HEAT AND LEANED MIXTURE. CONTRARY TO MANUEL. ENGINE QUIT.FUEL EXHAUSTION,MANUEL,product or material produced,CARB HEAT
3591,2035,19970616014309A,CABIN DOOR OPENED ON CLIMBOUT. DISTRACTED RETURNED. LANDED GEAR UP. AWARE GEAR UP TOO LATE FOR GO AROUND.          ,CABIN,has part,CLIMBOUT
3592,2035,19970616014309A,CABIN DOOR OPENED ON CLIMBOUT. DISTRACTED RETURNED. LANDED GEAR UP. AWARE GEAR UP TOO LATE FOR GO AROUND.          ,CLIMBOUT,part of,CABIN
3593,2036,19970620024389I,LOST POWER EN ROUTE AFTER SWITCHING TANKS. LANDED ON HIGHWAY. PUSHED TO NEARBY AIRPORT. WATER IN FUEL. SAT OUT.    ,LANDED ON HIGHWAY,location,NEARBY AIRPORT
3594,2037,19970804036029I,"NARRATIVE: AFTER DEPARTING MONTEREY DEL NORTE, THE AIRCRAFT LOST ALL ELECTRICAL POWER. THE EMERGENCY ALTERNATOR RES",MONTEREY DEL NORTE,significant event,AIRCRAFT LOST ALL ELECTRICAL POWER
3595,2037,19970804036029I,"NARRATIVE: AFTER DEPARTING MONTEREY DEL NORTE, THE AIRCRAFT LOST ALL ELECTRICAL POWER. THE EMERGENCY ALTERNATOR RES",AIRCRAFT LOST ALL ELECTRICAL POWER,participant,MONTEREY DEL NORTE
3596,2038,19970811021669A,ENGINE QUIT ON FINAL. HIT LIGHT POLES AND FENCE. WATER RUST IN FUEL. LEAKY RUSTED FUEL CAPS. BAD O RING CORROSION. ,LIGHT POLES,has part,FUEL CAPS
3597,2038,19970811021669A,ENGINE QUIT ON FINAL. HIT LIGHT POLES AND FENCE. WATER RUST IN FUEL. LEAKY RUSTED FUEL CAPS. BAD O RING CORROSION. ,FUEL CAPS,part of,LIGHT POLES
3598,2039,19970711020099A,ROUGH ENGINE. POWER LOSS. LANDED SOFT TERRAIN. NOSED OVER FOUND WATER IN FUEL.                                     ,LANDED SOFT TERRAIN,has part,FUEL
3599,2039,19970711020099A,ROUGH ENGINE. POWER LOSS. LANDED SOFT TERRAIN. NOSED OVER FOUND WATER IN FUEL.                                     ,FUEL,part of,LANDED SOFT TERRAIN
3600,2040,19970816022589A,"AIRCRAFT LANDED ON PRIVATE GRASS STRIP, LOST CONTROL, RAN OFF STRIP, HIT PINE TREES. (.4)THE PILOT STATED THAT WHIL",PINE TREES,located on terrain feature,PRIVATE GRASS STRIP
3601,2041,19970725028609I,"NARRATIVE: AIRCRAFT WAS CLEARED TO LAND ON RUNWAY 8 (DOWNWIND), BUT THE PILOT DECIDED HE WAS GOING TOO FAST BECAUSE",AIRCRAFT,has part,PILOT
3602,2041,19970725028609I,"NARRATIVE: AIRCRAFT WAS CLEARED TO LAND ON RUNWAY 8 (DOWNWIND), BUT THE PILOT DECIDED HE WAS GOING TOO FAST BECAUSE",PILOT,part of,AIRCRAFT
3603,2042,19970826023989A,COLLECTIVE DISCONNECT. DAMAGED ON RUN ON LOG. FAILED PREFLITE COLLECTIVE USED INCORRECT CONTROL INPUTS. UNSKILLED. ,COLLECTIVE DISCONNECT,facet of,RUN ON LOG
3604,2043,19970826028809I,"NARRATIVE: AFTER DEPARTURE FROM MARLBORO AIRPORT, MARLBORO, NJ UNDER VISUAL METEOROLOGICAL CONDITION (VMC), THE PIL",MARLBORO AIRPORT,place served by transport hub,"MARLBORO, NJ"
3605,2044,19970802020419A,AIRCRAFT MADE EMERGENCY LANMDING IN A FIELD AND BURNED. (.4)THE PILOT REPORTED THE AIRCRAFT CLIMBED OUT NORMALLY UN,PILOT,part of,AIRCRAFT
3606,2044,19970802020419A,AIRCRAFT MADE EMERGENCY LANMDING IN A FIELD AND BURNED. (.4)THE PILOT REPORTED THE AIRCRAFT CLIMBED OUT NORMALLY UN,PILOT,part of,AIRCRAFT
3607,2044,19970802020419A,AIRCRAFT MADE EMERGENCY LANMDING IN A FIELD AND BURNED. (.4)THE PILOT REPORTED THE AIRCRAFT CLIMBED OUT NORMALLY UN,AIRCRAFT,has part,PILOT
3608,2044,19970802020419A,AIRCRAFT MADE EMERGENCY LANMDING IN A FIELD AND BURNED. (.4)THE PILOT REPORTED THE AIRCRAFT CLIMBED OUT NORMALLY UN,AIRCRAFT,has part,PILOT
3609,2045,19970828026989A,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,TAKEOFF ROLL,part of,CORNFIELD
