c5,c119,c119_entity_linking
20010818039089I,"(-23) THIS INCIDENT, ^PRIVACY DATA OMITTED^ IS CLOSED. ^PRIVACY DATA OMITTED^     INSPECTOR STATEMENT: ON AUGUST 18","[['AUGUST 18', Entity(parsed_string=[day of the year: [""8/18""]]), 'DATE']]"
20010904024339I,"(23)PILOT STATED HE USED FUEL IN LEFT FUEL TANK, HE SELECTED RIGHT TANK, WHICH STILL HAD 10-15 GALLONS. AFTER ABOUT","[['23', None, 'CARDINAL'], ['10-15', None, 'CARDINAL']]"
20011020029559I,(-23) PILOT ATTEMPTED TO LAND AT KODIAK MUNICIPAL AIRPORT. HE GOT A NOSE GEAR UNSAFE INDICATION. HE NOTIFIED TOWER ,"[['23', None, 'CARDINAL'], ['KODIAK MUNICIPAL AIRPORT', Entity(wikidata_entity_id=Q2075671, wikipedia_entity_title=Kodiak Municipal Airport), 'ORG']]"
20010830026849I,(-23) TAKEOFF WAS ABORTED DUE TO SEVERE VIBRATION AND LOSS OF NOSEWHEEL STEERING. THE NOSE LANDING GEAR TORQUE LINK,"[['23', None, 'CARDINAL'], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['TORQUE', Entity(wikidata_entity_id=Q48103, wikipedia_entity_title=Torque), None]]"
20010823023939A,"(-23) ON AUGUST 23, 2001, AT APPROXIMATELY 1530 EDT, A CESSNA 182R, N5419E, SUSTAINED SUBSTANTIAL DAMAGE DURING LAN","[['(-23', None, 'TIME'], ['AUGUST 23, 2001', Entity(parsed_string=[timepoint: [""2001/8/23""]]), 'DATE'], ['1530 EDT', None, 'TIME'], ['CESSNA', Entity(wikidata_entity_id=Q308889, wikipedia_entity_title=Cessna), None], ['182', None, 'CARDINAL']]"
20011111035809I,(-23) AFTER TAKE OFF ACFT HAD POWER FAILURE. PILOT FLEW BY TOWER AND CONFIRMED ALL GEAR DOWN. ACFT LANDED AND NOSE ,"[['(-23', None, 'CARDINAL'], ['ACFT', Entity(wikidata_entity_id=Q67935434, wikipedia_entity_title=Army Combat Fitness Test), None], ['ACFT', Entity(wikidata_entity_id=Q67935434, wikipedia_entity_title=Army Combat Fitness Test), None]]"
20011221036699I,(-23)INSPECTION OF THE AIRCRAFT BY THE FBO INDICATES THAT THE PILOT ATTEMPTED THE TAKE-OFF ROLL WITHOUT THE PARKING,"[['23', None, 'CARDINAL'], ['FBO', Entity(wikidata_entity_id=Q670113, wikipedia_entity_title=Fixed-base operator), None]]"
20020206000979I,(-23) THE PILOT IN COMMAND TAXIED AND TOOK OFF WITH THE ENGINE HEATER EXTENSION CORD PLUGGED INTO THE AIRPLANE. UPO,"[['UPO', Entity(wikidata_entity_id=Q1277255, wikipedia_entity_title=Calabash), None]]"
20020305003489I,"(-23) AIRCRAFT DEPARTED FAIRBANKS INTERNATIONAL APPROXIMATELY 10 MINUTES AFTER TAKEOFF AND WHILE IN CLIMB, THE ENGI","[['(-23', None, 'CARDINAL'], ['CRAFT', Entity(wikidata_entity_id=Q2207288, wikipedia_entity_title=Craft), None], ['PARTED', Entity not linked to a knowledge base, 'ORG'], ['FAIRBANKS INTERNATIONAL', Entity not linked to a knowledge base, 'ORG'], ['10 MINUTES', None, 'TIME'], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['CLIMB', Entity not linked to a knowledge base, 'GPE'], ['ENGI', Entity(wikidata_entity_id=Q1374325, wikipedia_entity_title=Engi (era)), 'ORG']]"
20020102000049I,"(-23) ON JANUARY 2, 2002, AT APPROXIMATELY 2330 CST, A PIPER PA-28-180 MADE AN EMERGENCY LANDING RESULTING FROM SEP","[['23', None, 'TIME'], ['JANUARY 2, 2002', Entity(parsed_string=[timepoint: [""2002/1/2""]]), 'DATE'], ['2330 CST', None, 'TIME'], ['PIPER', Entity(wikidata_entity_id=Q934012, wikipedia_entity_title=Piper Aircraft), None], ['PA-28-180', Entity not linked to a knowledge base, None]]"
20011213037619I,(-23) ON 12/13/02 AT APPROXIMATELY 21:12 N111AM SUSTAINED HYDRAULIC FAILURE THUS LANDING AT PBI. DURING THE TAXI IN,"[['23', None, 'TIME'], ['12/13/02', Entity(parsed_string=[timepoint: [""2002/12/13""]]), 'DATE'], ['21:12 N111AM', None, 'TIME'], ['PBI', Entity not linked to a knowledge base, 'ORG'], ['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None]]"
20020425011949I,(-23) PILOT FORGOT TO REMOVE TOW BAR. WHILE TAXIING FOR TAKE-OFF PROP STRUCK TOW BAR.                              ,"[['(-23', None, 'CARDINAL']]"
20020323004169A,(-23) INEFFECTIVE ELEVATOR CONTROL BECAME APPARENT DURING TAKE OFF ROLL. (ONGOING INVESTIGATION TO DETERMINE CAUSE ,"[['(-23', None, 'CARDINAL']]"
20020403006639I,(-23) PIC REPORTED THE RIGHT SIDE EMERGENCY EXIT WINDOW/DOOR DEPARTED. THE AIRPLANE HAD DEPARTED ON A TEST FLIGHT A,"[['23', None, 'CARDINAL'], ['PIC', Entity(wikidata_entity_id=Q1146304, wikipedia_entity_title=Pilot in command), 'PERSON']]"
20020503029479I,(-23) BIRDS NEST IN ENGINE COWLING THAT WAS INGESTED INTO THE INDUCTION SYSTEM CAUSING A RESTRICTION TO AIRFLOW AND,"[['23', None, 'CARDINAL'], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None]]"
20020529014479I,"(-23) ON MAY 29, 2002, AT 1400 HOURS EDT, A PIPER PA-23-250, N6597Y, REGISTERED TO AIRLINE TRAINING ACADEMY, INC, E","[['23', None, 'TIME'], ['MAY 29, 2002', Entity(parsed_string=[timepoint: [""2002/5/29""]]), 'DATE'], ['1400 HOURS EDT', None, 'TIME'], ['TRAINING ACADEMY, INC', Entity not linked to a knowledge base, 'ORG']]"
20020527020899I,"(-23) DURING FLIGHT TRANSITIONING FROM CLIMB TO CRUISE, THE ENGINE COWLING SEPARATED FROM THE ENGINE COMPARTMENT AN","[['(-23', None, 'QUANTITY']]"
20020418009469A,"(-23) AN AMATEUR KIT BUILT AIRPLANE, A 4 PLACE KIS/PULSAR SUPER CRUISER, CRASHED 1/4 MILE EAST OF THE NORTH PERRY A","[['(-23', None, 'CARDINAL'], ['AMATEUR KIT BUILT', Entity not linked to a knowledge base, 'PERSON'], ['KIS', Entity(wikidata_entity_id=Q4354120, wikipedia_entity_title=KIS (weapon)), None], ['LSAR', Entity(wikidata_entity_id=Q1063793, wikipedia_entity_title=Integrated logistics support), None], ['1/4', None, 'QUANTITY'], ['NORTH PERRY', Entity(wikidata_entity_id=Q773588, wikipedia_entity_title=North Perry, Ohio), None]]"
20020324004129I,"(-23) THE PILOT DEPARTED MOWATA AIRPORT IN EUNICE, LOUISIANA AND ARRIVED IN MIDLAND, TEXAS (MAF) WITHOUT ANY KNOWN ","[['ILOT DEPARTED', Entity not linked to a knowledge base, None], ['MOWATA AIRPORT', Entity not linked to a knowledge base, 'ORG'], ['EUNICE', Entity(wikidata_entity_id=Q1153939, wikipedia_entity_title=Eunice, Louisiana), 'ORG'], ['LOUISIANA', Entity(wikidata_entity_id=Q1588, wikipedia_entity_title=Louisiana), 'GPE'], ['MIDLAND', Entity(wikidata_entity_id=Q128321, wikipedia_entity_title=Midland, Texas), 'GPE'], ['TEXAS', Entity(wikidata_entity_id=Q1439, wikipedia_entity_title=Texas), 'GPE'], ['MAF', Entity not linked to a knowledge base, 'ORG']]"
20020815036819I,"(-23) AIRCRAFT DEPARTED KN68 WITH PILOT AND THREE PARACHUTE JUMPERS ON AUGUST 15, 2002 AT 0945 HRS. AIRCRAFT CLIMBE","[['23', None, 'CARDINAL'], ['CRAFT', Entity(wikidata_entity_id=Q2207288, wikipedia_entity_title=Craft), None], ['68', Entity not linked to a knowledge base, None], ['THREE', None, 'CARDINAL'], ['AUGUST 15, 2002', Entity(parsed_string=[timepoint: [""2002/8/15""]]), 'DATE'], ['HRS', None, 'TIME'], ['CRAFT CLIMBE', Entity not linked to a knowledge base, None]]"
20020718020329I,"(-23) THE AIRCRAFT DEPARTED FROM BUY FOR A MAINTENANCE TEST FLIGHT. ON DEPARTURE, AT APPROXIMATELY 800 FT. AGL, THE","[['AP', None, 'QUANTITY'], ['XIMATELY 800 FT', None, 'QUANTITY']]"
20020708018869I,"(-23) ACCORDING TO PIC, HE ABORTED THE TAKE OFF AT 30 FT AGL DUE TO NO INDICATED AIRSPEED. DURING RESULTING LANDING","[['(-23', None, 'QUANTITY'], ['P', Entity not linked to a knowledge base, None], ['30 FT', None, 'QUANTITY']]"
20020618012459I,(-23) THIS AIRCRAFT HAD JUST RECEIVED AN ANNUAL INSPECTION. DURING THE PREFLIGHT INSPECTION THE PILOT FAILED TO NOT,"[['23', None, 'CARDINAL'], ['UAL', None, 'DATE']]"
20020801025679A,"(.19) ON AUGUST 1, 2002, ABOUT 2030 EASTERN DAYLIGHT TIME, A GRUMMAN AMERICAN AA-5B, N81310, WAS DESTROYED WHEN IT ","[['19', None, 'CARDINAL'], ['AUGUST 1, 2002', Entity(parsed_string=[timepoint: [""2002/8/1""]]), 'DATE'], ['2030 EASTERN DAYLIGHT TIME', None, 'TIME'], ['GRUMMAN', Entity(wikidata_entity_id=Q463261, wikipedia_entity_title=Grumman), 'ORG'], ['AMERICAN', Entity not linked to a knowledge base, None], ['AA-5B', Entity(wikidata_entity_id=Q1455248, wikipedia_entity_title=Grumman American AA-5), None]]"
20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","[['CE-182', Entity not linked to a knowledge base, 'FAC'], ['HOT SPRINGS', Entity(wikidata_entity_id=Q3475263, wikipedia_entity_title=Hot Springs, Virginia), 'GPE'], ['ARKANSAS', Entity(wikidata_entity_id=Q1612, wikipedia_entity_title=Arkansas), 'GPE'], ['FAYETTEVILLE', Entity(wikidata_entity_id=Q1262338, wikipedia_entity_title=Fayetteville, Alabama), 'GPE'], ['TENNESSEE', Entity(wikidata_entity_id=Q1509, wikipedia_entity_title=Tennessee), 'GPE']]"
20020710019879A,(-23) THE PILOT STATED THAT DURING TAKE OFF HE REALIZED HE HAD FAILED TO REMOVE THE CONTROL LOCK. HE RAN OFF THE EN,"[['23', None, 'CARDINAL']]"
20020905024699I,(-23) ^PRIVACY DATA OMITTED^ THE PILOT REFUELED THE AIRCRAFT AT HIS DESTINATION FROM TWO FIVE GALLON CONTAINERS HE ,"[['23', None, 'CARDINAL'], ['TWO FIVE', None, 'CARDINAL']]"
20020916037649A,"(-23) INSPECTOR STATEMENT: ON SEPTEMBER 16, 2002 AT ABOUT 9:30 A.M. LOCAL TIME IN THE VICINITY OF THE CANADAIGUA AI","[['(-23', None, 'CARDINAL'], ['SEPTEMBER 16, 2002', Entity(parsed_string=[timepoint: [""2002/9/16""]]), 'DATE'], ['ABOUT 9:30 A.M.', None, 'TIME'], ['CANADAIGUA AI', Entity not linked to a knowledge base, 'ORG']]"
20021008028999I,(-23) AIRCRAFT WINGTIP STRUCK LIGHT POLE WHILE TAXIING IN AN AREA OF CONSTRUCTION. THE POLE LIGHTS WERE UNLIT AS WA,"[['(-23', None, 'QUANTITY'], ['WA', Entity not linked to a knowledge base, None]]"
20021004034939I,(-23) DURING PREFLIGHT JUST PRIOR TO DEPARTURE PILOT WAS DISTRACTED BY CELL PHONE CALL. PILOT FAILED TO REMOVE AIRC,"[['23', None, 'CARDINAL'], ['PILOT', Entity(wikidata_entity_id=Q3139963, wikipedia_entity_title=Honda Pilot), 'PERSON'], ['CELL PHONE', Entity(wikidata_entity_id=Q17517, wikipedia_entity_title=Mobile phone), None], ['C', Entity not linked to a knowledge base, None]]"
20021027029099I,"(-23) PILOT DID NOT PERFORM A THOROUGH PREFLIGHT INSPECTION, THUS OVERLOOKING A PROPELLER LOCK ATTACHMENT. HE THEN ","[['(-23', None, 'CARDINAL'], ['P', Entity not linked to a knowledge base, 'PERSON'], ['OT', Entity not linked to a knowledge base, 'PERSON']]"
20021114030969I,"(-23) PILOT REPORTED WHEN RETURNING TO LEVEL FLIGHT FROM INVERTED AEROBATIC MANEUVER, ENGINE ""BURBLED"". PILOT DECLA","[['(-23', None, 'QUANTITY'], ['EU', Entity(wikidata_entity_id=Q45003, wikipedia_entity_title=Entropy), None], ['ENGINE', Entity not linked to a knowledge base, None], ['DECLA', Entity(wikidata_entity_id=Q54709350, wikipedia_entity_title=Decla Film), None]]"
20020917036549I,(-23) WITNESS REPORTED SEEING CESSNA CE-401 N531MH DEPART EAGLE CREEK AIRPORT WITHOUT ANY LIGHTS AFTER DARK. AIR TR,"[['CESSNA', Entity(wikidata_entity_id=Q308889, wikipedia_entity_title=Cessna), None], ['EAGLE CREEK', Entity(wikidata_entity_id=Q1927606, wikipedia_entity_title=Eagle Creek, Oregon), 'ORG']]"
20021117036339I,"(-23) ON NOVEMBER 17, 2002, AT 1630 LOCAL TIME A CESSNA 152, N4823L REGISTERED TO AERO WINGS INC. AND OPERATED BY J","[['NOVEMBER 17, 2002', Entity(parsed_string=[timepoint: [""2002/11/17""]]), 'DATE'], ['1630', None, 'TIME'], ['CESSNA', Entity(wikidata_entity_id=Q308889, wikipedia_entity_title=Cessna), None], ['152', None, 'CARDINAL'], ['AERO WINGS INC', Entity not linked to a knowledge base, 'ORG'], ['J', Entity not linked to a knowledge base, 'ORG']]"
20021024033449I,(-23) CREW FAILED TO SWITCH ON THE WING AND ENGINE ANTI-ICE WHEN GROUND ICING CONDITIONS EXISTED. CORRECTED ON THE ,"[['23', None, 'CARDINAL']]"
20021002026869A,"(.19) ON OCTOBER 2, 2002, ABOUT 1540 EASTERN DAYLIGHT TIME, A BEAGLE AIRCRAFT B.206 BASSET, N72KB, WAS DESTROYED AF","[['19', None, 'CARDINAL'], ['OCTOBER 2, 2002', Entity(parsed_string=[timepoint: [""2002/10/2""]]), 'DATE'], ['ABOUT 1540 EASTERN DAYLIGHT TIME', None, 'TIME'], ['BEAGLE AIRCRAFT', Entity(wikidata_entity_id=Q652911, wikipedia_entity_title=Ilyushin Il-28), None], ['B.206', Entity(wikidata_entity_id=Q2428191, wikipedia_entity_title=Bell 204/205), None], ['BASSET', Entity(wikidata_entity_id=Q753560, wikipedia_entity_title=Beagle B.206), None], ['72KB', Entity not linked to a knowledge base, None]]"
20021201038509A,(-23) PILOT REPORTED AIRCRAFT WOULD NOT ROTATE ON TAKE-OFF ROLL. ABORTED TAKEOFF AND AIRCRAFT SKIDDED OFF THE END O,"[['23', None, 'CARDINAL']]"
20030225003209A,(-23) WITNESSES AT THE DEPARTURE AIRPORT STATED THAT PILOT HAD SIGNIFICANT DIFFICULTY STARTING THE AIRCRAFT IMMEDIA,"[['23', None, 'CARDINAL']]"
20030317008009A,(-23) MS BOMBERGER LANDED AT CTJ AFTER A SECOND NO FLAP APPROACH AND RAN OFF THE END OF THE RUNWAY CAUSING THE NOSE,"[['(-23', None, 'QUANTITY'], ['MS BOMBERGER', Entity not linked to a knowledge base, None], ['CTJ', Entity(wikidata_entity_id=Q7985208, wikipedia_entity_title=West Georgia Regional Airport), None], ['SECOND', None, 'ORDINAL']]"
20030109002509A,"(.19) ON JANUARY 9, 2003, APPROXIMATELY 1500 CENTRAL STANDARD TIME, AN AEROSPATIALE AS-350-BA SINGLE-ENGINE HELICOP","[['.19', None, 'CARDINAL'], ['JANUARY 9, 2003', Entity(parsed_string=[timepoint: [""2003/1/9""]]), 'DATE'], ['CENTRAL', Entity not linked to a knowledge base, None], ['ARD', Entity(wikidata_entity_id=Q49653, wikipedia_entity_title=ARD (broadcaster)), None], ['AS-350-BA', Entity not linked to a knowledge base, None], ['INGLE-ENGINE', Entity not linked to a knowledge base, None]]"
20030306008999I,"(-23) DURING THE TAKEOFF ROLL THE PILOT IN COMMAND NOTICED A ""VIBRATION"". THE VIBRATION CONTINUED AND AS THE AIRCRA","[['(-23', None, 'CARDINAL']]"
20030201001619I,(-23) AIRCRAFT HAD BEEN GROUNDED BECAUSE THE BRAKES WERE INOPERATIVE. CFK AND STUDENT PILOT FAILED TO CHECK THE DIS,"[['(-23', None, 'CARDINAL'], ['CFK', Entity not linked to a knowledge base, 'PERSON']]"
20030102006879I,(-23) WHILE BEGINNING A TAKEOFF ROLL ON RUNWAY 4 THE CREW OF N961LL ABORTED THE TAKEOFF AFTER REACHING AN AIRSPEED ,"[['23', None, 'TIME']]"
20021219034299I,"(-23) ON DECEMBER 19, 2002, ABOUT 1530 MOUNTAIN STANDARD TIME, A BEECHCRAFT A36, N323D, LANDED THE AIRCRAFT WITHOUT","[['23', None, 'TIME'], ['DECEMBER 19, 2002', Entity(parsed_string=[timepoint: [""2002/12/19""]]), 'DATE'], ['ABOUT 1530 MOUNTAIN', None, 'QUANTITY'], ['BEECHCRAFT', Entity(wikidata_entity_id=Q634227, wikipedia_entity_title=Beechcraft), None], ['36', Entity not linked to a knowledge base, None]]"
20021219033249I,"(-23) ON DECEMBER 19, 2002, AT APPROXIMATELY 1:03 AM, A FALCON DA-20 LANDED AT STANIFORD INTERNATIONAL AIRPORT WITH","[['(-23', None, 'TIME'], ['DECEMBER 19, 2002', Entity(parsed_string=[timepoint: [""2002/12/19""]]), 'DATE'], ['1:03 AM', None, 'TIME'], ['FALCON', Entity(wikidata_entity_id=Q293765, wikipedia_entity_title=AIM-4 Falcon), 'ORG'], ['DA-20', Entity(wikidata_entity_id=Q929944, wikipedia_entity_title=Diamond DA20 Katana), None], ['STANIFORD INTERNATIONAL AIRPORT', Entity not linked to a knowledge base, 'ORG']]"
20030306005039A,"(-23) BAGS FROM AFT BAGGAGE STRUCK THE TAIL ROTOR IN FLIGHT, SUBSEQUENTLY THE TAIL ROTOR FAILED THE PILOT LANDED IN","[['(-23', None, 'QUANTITY']]"
20030223010089I,"(-23) CREW WAITED FOR AIRCRAFT TO BE TAXIED TO GATE FROM HANGAR, ASSUMING THAT IT HAD BEEN INSIDE AND DEICED. ON TH","[['23', None, 'CARDINAL'], ['HANGAR', Entity(wikidata_entity_id=Q192375, wikipedia_entity_title=Hangar), 'ORG']]"
20030208002149I,"(-23) ON 02/08/2003 AT APPROXIMATELY 22:30, A LEAR JET OPERATED BY FS AIR, ON A MEDEVAC OPERATION, SLID OFF THE END","[['23', None, 'CARDINAL'], ['02/08/2003', None, 'DATE'], ['22:30', None, 'TIME'], ['FS AIR', Entity not linked to a knowledge base, 'ORG']]"
20030130003529A,"(-23) ON JANUARY 30, 2003, ABOUT 0330 ALASKA STANDARD TIME, A CESSNA 208B AIRPLANE, N1276P, SUSTAINED SUBSTANTIAL D","[['(-23', None, 'TIME'], ['JANUARY 30, 2003', Entity(parsed_string=[timepoint: [""2003/1/30""]]), 'DATE'], ['0330', None, 'TIME'], ['ALASKA', Entity(wikidata_entity_id=Q797, wikipedia_entity_title=Alaska), 'ORG'], ['CESSNA', Entity(wikidata_entity_id=Q308889, wikipedia_entity_title=Cessna), None], ['208B', None, 'CARDINAL']]"
20030322004009A,"(-23) NO NTSB ACCIDENT NO, AS THIS IS AN ULTRA-LIGHT AIRCRAFT, AND THEY ELECTED NOT TO DO AN ACCIDENT REPORT. ^PRIV","[['NTSB', Entity(wikidata_entity_id=Q1053145, wikipedia_entity_title=National Transportation Safety Board), 'ORG']]"
20030611018109A,"(-23) ON JUNE 11, 2003 AT APPROXIMATELY 1242 EDT, A STEVEN D. AYERS EXPERIMENTAL RV-6A AIRCRAFT CRASHED DURING TAKE","[['23', None, 'TIME'], ['JUNE 11, 2003', Entity(parsed_string=[timepoint: [""2003/6/11""]]), 'DATE'], ['1242 EDT', None, 'TIME'], ['STEVEN D', Entity not linked to a knowledge base, 'PERSON'], ['AYERS', Entity(wikidata_entity_id=Q6133581, wikipedia_entity_title=James F. Ayers), 'PERSON'], ['RV-6A', Entity not linked to a knowledge base, None], ['C', Entity(wikidata_entity_id=Q2344775, wikipedia_entity_title=C band (IEEE)), None]]"
20030404010269A,(-23) A HOSE USED TO FILL THE CHEMICAL TANK FOR AERIAL APPLICATION WAS NOT REMOVED BEFORE THE PILOT ATTEMPTED TO TA,[]
20030424004209A,(-23) DURING TAXI FROM HANGER TO FUEL PUMPS AIRCRAFT WAS ON TAXIWAY WHEN A TELEPHONE MAN HOLE COVER BROKE AS AIRCRA,"[['23', None, 'CARDINAL'], ['TAXI', Entity(wikidata_entity_id=Q1421250, wikipedia_entity_title=Taxiing), None], ['PS', Entity not linked to a knowledge base, None], ['TAXIWAY', Entity(wikidata_entity_id=Q910386, wikipedia_entity_title=Taxiway), None], ['TELEPHONE MAN HOLE', Entity not linked to a knowledge base, None], ['CRA', Entity not linked to a knowledge base, None]]"
20030615012189A,"(-23) ON JUNE 15, 2003 AT APPROXIMATELY 1730 CENTRAL DAYLIGHT TIME, N20553 EXPERIENCED A LOSS OF POWER DURING TAKE ","[['(-23', None, 'TIME'], ['JUNE 15, 2003', Entity(parsed_string=[timepoint: [""2003/6/15""]]), 'DATE'], ['1730 CENTRAL DAYLIGHT TIME', None, 'TIME']]"
20030620012809I,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE ,"[['23', None, 'CARDINAL']]"
20030530013819A,(-23) AIRCRAFT EXPERIENCED LOSS OF ENGINE POWER WHILE IN FLIGHT. PARTIAL POWER WAS RESTORED AND PILOT ATTEMPTED TO ,"[['(-23', None, 'QUANTITY']]"
20030429010109I,(-23) A MEAL CART RELEASED ON LANDING AND TRAVELED NEARLY TO DOOR #2. THE CART HIT SEVERAL PASSENGERS AS IT TRAVERS,"[['23', None, 'CARDINAL'], ['#2', None, 'CARDINAL'], ['SE', None, 'CARDINAL']]"
20030617034909I,(-23) ^PRIVACY DATA OMITTED^ ON 6/17/2003 N7401P HAD A RIGHT MAIN GEAR FAILURE WHILE LANDING AT FOX FIELD LANCASTER,"[['6/17/2003', Entity(parsed_string=[timepoint: [""2003/6/17""]]), 'DATE'], ['FOX', Entity not linked to a knowledge base, None], ['ANCAS', Entity not linked to a knowledge base, 'GPE']]"
20030417006539I,"(-23) ON APRIL 17, 2003, AT 19:09 CENTRAL STANDARD TIME, AN EXPERIMENTAL AMATEUR BUILT MODEL BUCKER BU133R, N103S, ","[['(-23', None, 'TIME'], ['APRIL 17, 2003', Entity(parsed_string=[timepoint: [""2003/4/17""]]), 'DATE'], ['19:09 CENTRAL STANDARD TIME', None, 'TIME'], ['ATEUR', Entity not linked to a knowledge base, 'PERSON'], ['BUILT MODEL BUCKER', Entity not linked to a knowledge base, None], ['133R', Entity not linked to a knowledge base, None]]"
20030531037899A,"(-23) ON MAY 31, 2003, APPROXIMATELY 1030 CENTRAL DAYLIGHT TIME, AN AEROTEK PITTS S-2A SINGLE-ENGINE AEROBATIC BI-P","[['(-23', None, 'TIME'], ['MAY 31, 2003', Entity(parsed_string=[timepoint: [""2003/5/31""]]), 'DATE'], ['1030 CENTRAL DAYLIGHT TIME', None, 'TIME'], ['AEROTEK PITTS', Entity not linked to a knowledge base, None], ['S-2A', Entity not linked to a knowledge base, None], ['ING', Entity not linked to a knowledge base, None], ['ENG', Entity not linked to a knowledge base, None]]"
20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL","[['THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT', Entity not linked to a knowledge base, 'ORG'], ['BVO', Entity(wikidata_entity_id=Q14708401, wikipedia_entity_title=Bartlesville Municipal Airport), 'FAC'], ['BARTLESVILLE', Entity(wikidata_entity_id=Q809450, wikipedia_entity_title=Bartlesville, Oklahoma), 'ORG'], ['OK', Entity(wikidata_entity_id=Q1649, wikipedia_entity_title=Oklahoma), 'GPE'], ['1147 AM', None, 'TIME']]"
20030415011469I,"(-23) AFTER GEAR MAINTENANCE AT SWEET WATER, THE EMERGENCY GEAR HANDLE NOT STOWED. PASSENGER SEAT BELT INTERFERED W","[['23', None, 'TIME'], ['SWEET WATER', Entity(wikidata_entity_id=Q102192, wikipedia_entity_title=Fresh water), None]]"
20030605015579I,(-23) MR. CAMPBELL FLEW HIS AIRCRAFT AFTER THE VACUUM PUMP WAS REMOVED FOR REPLACEMENT. THE MECHANIC (IA) WHO REMOV,"[['23', None, 'CARDINAL'], ['CAMPBELL FLEW', Entity not linked to a knowledge base, 'PERSON'], ['MECHANIC', Entity(wikidata_entity_id=Q327029, wikipedia_entity_title=Mechanic), None], ['IA', Entity(wikidata_entity_id=Q1546, wikipedia_entity_title=Iowa), 'ORG']]"
20030604011419A,(-23) ROTORCRAFT ATTEMPTED TO LIFT OFF OF TRAILER WHILE THE RIGHT REAR SKID WAS SECURED WITH THE TIEDOWN STRAP. ROT,"[['23', None, 'CARDINAL']]"
20030328006589I,"(-23) CRUISE FLIGHT 4500 WESTBOUND 4 SOUTH OF INCIDENT SITE ENGINE QUIT. ESTABLISHED MAX GLIDE, FUEL SELECTOR LH, A","[['(-23', None, 'QUANTITY'], ['CRUISE FLIGHT', Entity(wikidata_entity_id=Q2063640, wikipedia_entity_title=Cruise (aeronautics)), None], ['4500', None, 'QUANTITY'], ['MAX GLIDE', Entity not linked to a knowledge base, 'PERSON'], ['FUEL SELECTOR', Entity(wikidata_entity_id=Q4698552, wikipedia_entity_title=Aircraft fuel system), 'PERSON']]"
20030603012019I,"(-23) DATE: JUNE 3, 2003 LOGAN INTERNATIONAL AIRPORT BOSTON MA (BOS) 12:35 EDT ASI: DONALD E. SMALL N452FJ DORNIER ","[['23', None, 'CARDINAL'], ['JUNE 3, 2003', Entity(parsed_string=[timepoint: [""2003/6/3""]]), 'DATE'], ['LOGAN INTERNATIONAL AIRPORT', Entity(wikidata_entity_id=Q671475, wikipedia_entity_title=Logan International Airport), 'ORG'], ['BOSTON', Entity(wikidata_entity_id=Q100, wikipedia_entity_title=Boston), 'GPE'], ['MA', Entity(wikidata_entity_id=Q771, wikipedia_entity_title=Massachusetts), 'GPE'], ['BOS', Entity(wikidata_entity_id=Q671475, wikipedia_entity_title=Logan International Airport), 'ORG'], ['12:35 EDT', None, 'TIME'], ['DONALD E. SMALL', Entity not linked to a knowledge base, 'PERSON'], ['DORNIER', Entity(wikidata_entity_id=Q165765, wikipedia_entity_title=Dornier Flugzeugwerke), 'PERSON']]"
20030531012049I,"(-23) WHILE ENROUTE FROM DENVER CENTENNIAL (APA) TO PUEBLO CO (PUB), APPROXIMATELY 7 MILES SOUTH OF APA, PILOT CONT","[['23', None, 'CARDINAL'], ['DENVER CENTENNIAL', Entity not linked to a knowledge base, None], ['APA', Entity not linked to a knowledge base, 'GPE'], ['PUEBLO CO', Entity not linked to a knowledge base, 'GPE'], ['PUB', Entity(wikidata_entity_id=Q212198, wikipedia_entity_title=Pub), 'GPE'], ['7 MILES', None, 'QUANTITY'], ['APA', Entity not linked to a knowledge base, 'GPE'], ['IL', Entity(wikidata_entity_id=Q1204, wikipedia_entity_title=Illinois), 'GPE']]"
20030605015429A,"(-23) ENROUTE TO MUSCLE SHOALS ALA. (MSL) FROM REFORM ALA. (3M8) AT 3000 FEET, MR. RICHARDSON EXPERIENCED LOSS OF R","[['(-23', None, 'QUANTITY'], ['REFORM AL', Entity not linked to a knowledge base, None], ['3M8', None, 'CARDINAL'], ['3000 FEET', None, 'QUANTITY'], ['RICHARDSON', Entity(wikidata_entity_id=Q169330, wikipedia_entity_title=Owen Willans Richardson), 'PERSON']]"
